"","CpG","Beta","SE","P","FDR","Trait","threshold"
"58","cg06603309",0.000166897,2.19e-05,2.71e-14,NA,"Alcohol","P1E5"
"59","cg06469895",-0.000204884,2.77e-05,1.52e-13,NA,"Alcohol","P1E5"
"60","cg19266329",-0.000278274,3.77e-05,1.65e-13,NA,"Alcohol","P1E5"
"61","cg23654112",-0.000137164,1.88e-05,3e-13,NA,"Alcohol","P1E5"
"62","cg08916477",-0.000162837,2.24e-05,4.02e-13,NA,"Alcohol","P1E5"
"63","cg03599037",-0.000136129,1.88e-05,4.51e-13,NA,"Alcohol","P1E5"
"64","cg06189038",-0.000160345,2.22e-05,4.57e-13,NA,"Alcohol","P1E5"
"65","cg09737197",-0.00016211,2.24e-05,5.03e-13,NA,"Alcohol","P1E5"
"66","cg16705273",-0.000250798,3.47e-05,5.28e-13,NA,"Alcohol","P1E5"
"67","cg05413305",-0.000256816,3.56e-05,5.35e-13,NA,"Alcohol","P1E5"
"68","cg17058475",-0.000161893,2.26e-05,8.5e-13,NA,"Alcohol","P1E5"
"69","cg11376147",-0.00025796,3.62e-05,9.8e-13,NA,"Alcohol","P1E5"
"70","cg00574412",-0.000166419,2.34e-05,1.13e-12,NA,"Alcohol","P1E5"
"71","cg09448652",-0.000257449,3.63e-05,1.27e-12,NA,"Alcohol","P1E5"
"72","cg20732076",-0.000146791,2.07e-05,1.46e-12,NA,"Alcohol","P1E5"
"73","cg16246545",-0.000605981,8.57e-05,1.54e-12,NA,"Alcohol","P1E5"
"74","cg24217948",-0.000276498,3.94e-05,2.14e-12,NA,"Alcohol","P1E5"
"75","cg19238380",-0.000294514,4.2e-05,2.24e-12,NA,"Alcohol","P1E5"
"76","cg25518868",-0.000123052,1.75e-05,2.28e-12,NA,"Alcohol","P1E5"
"77","cg07502661",-0.000187111,2.67e-05,2.6e-12,NA,"Alcohol","P1E5"
"78","cg27514333",-0.000156941,2.25e-05,2.77e-12,NA,"Alcohol","P1E5"
"79","cg13127741",-0.000229919,3.3e-05,3.1e-12,NA,"Alcohol","P1E5"
"80","cg20970369",-0.000227381,3.26e-05,3.23e-12,NA,"Alcohol","P1E5"
"81","cg00883689",-0.000284744,4.09e-05,3.23e-12,NA,"Alcohol","P1E5"
"82","cg08677210",-0.000134156,1.93e-05,3.32e-12,NA,"Alcohol","P1E5"
"83","cg21439672",-0.000297026,4.27e-05,3.7e-12,NA,"Alcohol","P1E5"
"84","cg02104962",-0.000228001,3.3e-05,4.97e-12,NA,"Alcohol","P1E5"
"85","cg01979157",-0.000156298,2.27e-05,5.94e-12,NA,"Alcohol","P1E5"
"86","cg07251887",-0.000282616,4.13e-05,7.56e-12,NA,"Alcohol","P1E5"
"87","cg05649922",-0.000210145,3.07e-05,7.67e-12,NA,"Alcohol","P1E5"
"88","cg14482712",-0.000178625,2.61e-05,7.71e-12,NA,"Alcohol","P1E5"
"89","cg17185710",-0.000212375,3.11e-05,8.1e-12,NA,"Alcohol","P1E5"
"90","cg05512483",-0.000345024,5.07e-05,9.89e-12,NA,"Alcohol","P1E5"
"91","cg19693031",-0.000439381,6.46e-05,1.02e-11,NA,"Alcohol","P1E5"
"92","cg16702313",-0.000158351,2.33e-05,1.04e-11,NA,"Alcohol","P1E5"
"93","cg20948740",-0.000285328,4.22e-05,1.34e-11,NA,"Alcohol","P1E5"
"94","cg21429551",-0.000845343,0.000125151,1.43e-11,NA,"Alcohol","P1E5"
"95","cg03997643",-0.000214019,3.17e-05,1.44e-11,NA,"Alcohol","P1E5"
"96","cg01234517",-9.27e-05,1.38e-05,1.85e-11,NA,"Alcohol","P1E5"
"97","cg27464065",-0.000290383,4.33e-05,1.95e-11,NA,"Alcohol","P1E5"
"98","cg00574958",-0.000101269,1.51e-05,2.09e-11,NA,"Alcohol","P1E5"
"99","cg12616487",-0.000167865,2.51e-05,2.1e-11,NA,"Alcohol","P1E5"
"100","cg19939077",-0.000226411,3.38e-05,2.24e-11,NA,"Alcohol","P1E5"
"101","cg22797644",-0.000223141,3.35e-05,2.57e-11,NA,"Alcohol","P1E5"
"102","cg20374917",-0.000162622,2.45e-05,3.2e-11,NA,"Alcohol","P1E5"
"103","cg05683445",-0.000169456,2.57e-05,3.95e-11,NA,"Alcohol","P1E5"
"104","cg22631938",-0.000232342,3.52e-05,3.99e-11,NA,"Alcohol","P1E5"
"105","cg07797660",-0.000232051,3.53e-05,4.75e-11,NA,"Alcohol","P1E5"
"106","cg14034325",-0.000235275,3.58e-05,5.18e-11,NA,"Alcohol","P1E5"
"107","cg08597832",-0.00016218,2.48e-05,6.12e-11,NA,"Alcohol","P1E5"
"108","cg00827581",0.00013067,2e-05,6.59e-11,NA,"Alcohol","P1E5"
"109","cg03260624",-0.000242304,3.74e-05,8.77e-11,NA,"Alcohol","P1E5"
"110","cg02256576",-0.00031293,4.84e-05,1e-10,NA,"Alcohol","P1E5"
"111","cg10750182",-0.000133251,2.06e-05,1.04e-10,NA,"Alcohol","P1E5"
"112","cg06096336",-0.000266204,4.14e-05,1.24e-10,NA,"Alcohol","P1E5"
"113","cg03497652",0.000222415,3.46e-05,1.27e-10,NA,"Alcohol","P1E5"
"114","cg12662084",-0.000348783,5.44e-05,1.4e-10,NA,"Alcohol","P1E5"
"115","cg26829071",0.000227163,3.55e-05,1.62e-10,NA,"Alcohol","P1E5"
"116","cg26430287",-0.000247362,3.87e-05,1.71e-10,NA,"Alcohol","P1E5"
"117","cg03359362",-6.21e-05,9.75e-06,1.87e-10,NA,"Alcohol","P1E5"
"118","cg23975840",0.000267792,4.21e-05,2e-10,NA,"Alcohol","P1E5"
"119","cg22876908",-0.000152717,2.4e-05,2.15e-10,NA,"Alcohol","P1E5"
"120","cg01538969",0.000209017,3.29e-05,2.24e-10,NA,"Alcohol","P1E5"
"121","cg06983052",-0.000311866,4.92e-05,2.39e-10,NA,"Alcohol","P1E5"
"122","cg03068497",-0.000768697,0.000121588,2.58e-10,NA,"Alcohol","P1E5"
"123","cg09326440",-7.55e-05,1.2e-05,2.71e-10,NA,"Alcohol","P1E5"
"124","cg18590502",-0.000329032,5.22e-05,2.83e-10,NA,"Alcohol","P1E5"
"125","cg12825509",-0.000524478,8.32e-05,2.96e-10,NA,"Alcohol","P1E5"
"126","cg01236573",-0.000200112,3.18e-05,3.05e-10,NA,"Alcohol","P1E5"
"127","cg14476101",-0.000940588,0.000150098,3.69e-10,NA,"Alcohol","P1E5"
"128","cg26569315",-6.46e-05,1.03e-05,4.05e-10,NA,"Alcohol","P1E5"
"129","cg11484872",-0.000238677,3.84e-05,4.91e-10,NA,"Alcohol","P1E5"
"130","cg03954858",0.000145633,2.35e-05,5.34e-10,NA,"Alcohol","P1E5"
"131","cg03689048",-0.000111641,1.8e-05,5.36e-10,NA,"Alcohol","P1E5"
"132","cg03345232",-0.000209487,3.38e-05,5.76e-10,NA,"Alcohol","P1E5"
"133","cg18125510",-0.00034229,5.53e-05,6.17e-10,NA,"Alcohol","P1E5"
"134","cg01687189",-0.000253427,4.1e-05,6.39e-10,NA,"Alcohol","P1E5"
"135","cg18328933",-0.000120354,1.95e-05,6.55e-10,NA,"Alcohol","P1E5"
"136","cg17865955",-0.000210619,3.42e-05,7e-10,NA,"Alcohol","P1E5"
"137","cg10589813",-0.00043552,7.07e-05,7.18e-10,NA,"Alcohol","P1E5"
"138","cg23534245",-0.000186225,3.02e-05,7.31e-10,NA,"Alcohol","P1E5"
"139","cg10317175",-0.000179648,2.92e-05,7.53e-10,NA,"Alcohol","P1E5"
"140","cg07091481",-0.000193968,3.16e-05,8.22e-10,NA,"Alcohol","P1E5"
"141","cg13442969",-0.000362448,5.91e-05,8.68e-10,NA,"Alcohol","P1E5"
"142","cg07176692",-0.00031186,5.11e-05,1.01e-09,NA,"Alcohol","P1E5"
"143","cg10816169",-0.000272511,4.46e-05,1.02e-09,NA,"Alcohol","P1E5"
"144","cg09907628",-0.000134987,2.21e-05,1.03e-09,NA,"Alcohol","P1E5"
"145","cg15059065",-0.000242701,4e-05,1.24e-09,NA,"Alcohol","P1E5"
"146","cg22871253",-0.000188219,3.1e-05,1.27e-09,NA,"Alcohol","P1E5"
"147","cg00247963",-0.000155303,2.56e-05,1.3e-09,NA,"Alcohol","P1E5"
"148","cg12067421",-0.000147351,2.43e-05,1.34e-09,NA,"Alcohol","P1E5"
"149","cg15821562",-0.000246252,4.07e-05,1.42e-09,NA,"Alcohol","P1E5"
"150","cg08115371",-0.000394429,6.52e-05,1.44e-09,NA,"Alcohol","P1E5"
"151","cg18954900",-0.000233979,3.87e-05,1.44e-09,NA,"Alcohol","P1E5"
"152","cg02654940",-0.000214334,3.54e-05,1.45e-09,NA,"Alcohol","P1E5"
"153","cg18159646",-0.000256959,4.25e-05,1.45e-09,NA,"Alcohol","P1E5"
"154","cg14676592",-0.0001352,2.24e-05,1.48e-09,NA,"Alcohol","P1E5"
"155","cg03485667",-0.000200024,3.31e-05,1.51e-09,NA,"Alcohol","P1E5"
"156","cg17390562",-0.000140907,2.33e-05,1.59e-09,NA,"Alcohol","P1E5"
"157","cg09257526",-0.00012733,2.12e-05,1.8e-09,NA,"Alcohol","P1E5"
"158","cg00812770",0.000127112,2.11e-05,1.82e-09,NA,"Alcohol","P1E5"
"159","cg06846495",-0.000233729,3.89e-05,1.86e-09,NA,"Alcohol","P1E5"
"160","cg26103104",-0.000343059,5.71e-05,1.92e-09,NA,"Alcohol","P1E5"
"161","cg04781796",0.000201398,3.35e-05,1.93e-09,NA,"Alcohol","P1E5"
"162","cg02578470",-0.000237701,3.96e-05,2.03e-09,NA,"Alcohol","P1E5"
"163","cg02231404",-0.000312955,5.22e-05,2.03e-09,NA,"Alcohol","P1E5"
"164","cg00045114",0.000249484,4.16e-05,2.04e-09,NA,"Alcohol","P1E5"
"165","cg20945261",-0.000191839,3.2e-05,2.08e-09,NA,"Alcohol","P1E5"
"166","cg18282388",0.0002136,3.57e-05,2.14e-09,NA,"Alcohol","P1E5"
"167","cg05465916",-0.00019089,3.19e-05,2.17e-09,NA,"Alcohol","P1E5"
"168","cg23712594",-0.000196963,3.29e-05,2.18e-09,NA,"Alcohol","P1E5"
"169","cg18765542",-0.000142943,2.39e-05,2.28e-09,NA,"Alcohol","P1E5"
"170","cg06644515",-0.000365342,6.11e-05,2.3e-09,NA,"Alcohol","P1E5"
"171","cg06516865",-0.000151603,2.54e-05,2.34e-09,NA,"Alcohol","P1E5"
"172","cg21369801",0.000197715,3.32e-05,2.48e-09,NA,"Alcohol","P1E5"
"173","cg27386529",-0.000198814,3.34e-05,2.61e-09,NA,"Alcohol","P1E5"
"174","cg04487857",0.000109109,1.83e-05,2.65e-09,NA,"Alcohol","P1E5"
"175","cg05457221",-0.000131515,2.21e-05,2.69e-09,NA,"Alcohol","P1E5"
"176","cg17192599",0.000193391,3.25e-05,2.8e-09,NA,"Alcohol","P1E5"
"177","cg05903736",-0.000164016,2.76e-05,2.89e-09,NA,"Alcohol","P1E5"
"178","cg18394552",0.000367256,6.19e-05,3.03e-09,NA,"Alcohol","P1E5"
"179","cg18120259",-0.00052297,8.82e-05,3.04e-09,NA,"Alcohol","P1E5"
"180","cg09042952",-4.57e-05,7.71e-06,3.11e-09,NA,"Alcohol","P1E5"
"181","cg19240637",-0.000223937,3.78e-05,3.21e-09,NA,"Alcohol","P1E5"
"182","cg11682350",-5.63e-05,9.51e-06,3.23e-09,NA,"Alcohol","P1E5"
"183","cg00986580",-0.000245028,4.14e-05,3.3e-09,NA,"Alcohol","P1E5"
"184","cg19578183",-0.000248248,4.2e-05,3.33e-09,NA,"Alcohol","P1E5"
"185","cg14473743",-0.000260987,4.41e-05,3.38e-09,NA,"Alcohol","P1E5"
"186","cg25612391",-0.000257381,4.35e-05,3.39e-09,NA,"Alcohol","P1E5"
"187","cg27479634",-0.000216929,3.67e-05,3.45e-09,NA,"Alcohol","P1E5"
"188","cg04961225",0.00023287,3.94e-05,3.51e-09,NA,"Alcohol","P1E5"
"189","cg23913963",-0.000267259,4.53e-05,3.59e-09,NA,"Alcohol","P1E5"
"190","cg03329539",-0.000229792,3.89e-05,3.6e-09,NA,"Alcohol","P1E5"
"191","cg09182138",-0.000154312,2.61e-05,3.6e-09,NA,"Alcohol","P1E5"
"192","cg06690548",-0.00133477,0.00022661,3.86e-09,NA,"Alcohol","P1E5"
"193","cg08429256",-0.000155808,2.65e-05,4.03e-09,NA,"Alcohol","P1E5"
"194","cg07180646",-0.000229401,3.9e-05,4.13e-09,NA,"Alcohol","P1E5"
"195","cg15699524",-0.000153203,2.61e-05,4.13e-09,NA,"Alcohol","P1E5"
"196","cg11197916",-0.000159894,2.72e-05,4.14e-09,NA,"Alcohol","P1E5"
"197","cg18530324",-0.000173123,2.95e-05,4.34e-09,NA,"Alcohol","P1E5"
"198","cg05012902",-0.000165956,2.83e-05,4.41e-09,NA,"Alcohol","P1E5"
"199","cg04610235",-0.000131691,2.25e-05,4.58e-09,NA,"Alcohol","P1E5"
"200","cg00622166",-0.000265203,4.53e-05,4.61e-09,NA,"Alcohol","P1E5"
"201","cg15804598",-0.000228213,3.89e-05,4.65e-09,NA,"Alcohol","P1E5"
"202","cg08335767",-0.000189721,3.24e-05,4.75e-09,NA,"Alcohol","P1E5"
"203","cg12807764",-0.000256786,4.39e-05,5e-09,NA,"Alcohol","P1E5"
"204","cg16889557",-0.000190117,3.25e-05,5.07e-09,NA,"Alcohol","P1E5"
"205","cg05721773",-0.000175489,3e-05,5.08e-09,NA,"Alcohol","P1E5"
"206","cg07104958",-0.00026315,4.51e-05,5.27e-09,NA,"Alcohol","P1E5"
"207","cg24848615",-0.000183639,3.15e-05,5.77e-09,NA,"Alcohol","P1E5"
"208","cg00594278",-0.000188514,3.24e-05,5.78e-09,NA,"Alcohol","P1E5"
"209","cg17768768",0.000133472,2.29e-05,5.88e-09,NA,"Alcohol","P1E5"
"210","cg12188860",-0.000239327,4.12e-05,6.17e-09,NA,"Alcohol","P1E5"
"211","cg04916802",-0.000196928,3.39e-05,6.33e-09,NA,"Alcohol","P1E5"
"212","cg19803952",-0.000159896,2.76e-05,6.65e-09,NA,"Alcohol","P1E5"
"213","cg14274621",-0.000137268,2.37e-05,6.67e-09,NA,"Alcohol","P1E5"
"214","cg00291478",-0.000339377,5.85e-05,6.69e-09,NA,"Alcohol","P1E5"
"215","cg01201215",-0.000155998,2.69e-05,6.76e-09,NA,"Alcohol","P1E5"
"216","cg24750156",-0.00020192,3.5e-05,8.04e-09,NA,"Alcohol","P1E5"
"217","cg00510149",-0.000156796,2.72e-05,8.14e-09,NA,"Alcohol","P1E5"
"218","cg02341119",-0.000244633,4.24e-05,8.15e-09,NA,"Alcohol","P1E5"
"219","cg12866859",-0.000183138,3.18e-05,8.32e-09,NA,"Alcohol","P1E5"
"220","cg00817377",-0.000128232,2.23e-05,8.36e-09,NA,"Alcohol","P1E5"
"221","cg18101225",0.000102643,1.78e-05,8.45e-09,NA,"Alcohol","P1E5"
"222","cg10554624",-0.000214178,3.72e-05,8.62e-09,NA,"Alcohol","P1E5"
"223","cg25643223",-0.000190149,3.3e-05,8.64e-09,NA,"Alcohol","P1E5"
"224","cg24420742",-0.000197272,3.43e-05,8.68e-09,NA,"Alcohol","P1E5"
"225","cg21578195",-0.000118018,2.05e-05,8.69e-09,NA,"Alcohol","P1E5"
"226","cg00432454",-0.000117396,2.04e-05,9.35e-09,NA,"Alcohol","P1E5"
"227","cg24642820",-0.000302378,5.27e-05,9.53e-09,NA,"Alcohol","P1E5"
"228","cg23166988",-0.000276846,4.83e-05,9.73e-09,NA,"Alcohol","P1E5"
"229","cg15055101",-0.000162025,2.83e-05,1e-08,NA,"Alcohol","P1E5"
"230","cg14145074",-0.000142457,2.49e-05,1.02e-08,NA,"Alcohol","P1E5"
"231","cg14330293",0.000128562,2.25e-05,1.03e-08,NA,"Alcohol","P1E5"
"232","cg23444264",-0.000193418,3.38e-05,1.04e-08,NA,"Alcohol","P1E5"
"233","cg17757575",-0.000205722,3.6e-05,1.07e-08,NA,"Alcohol","P1E5"
"234","cg26312998",-0.000170625,2.99e-05,1.09e-08,NA,"Alcohol","P1E5"
"235","cg20674424",-0.000210537,3.68e-05,1.11e-08,NA,"Alcohol","P1E5"
"236","cg03627290",-0.000109782,1.92e-05,1.12e-08,NA,"Alcohol","P1E5"
"237","cg18482892",-0.000225543,3.95e-05,1.15e-08,NA,"Alcohol","P1E5"
"238","cg27492942",-0.000189492,3.32e-05,1.17e-08,NA,"Alcohol","P1E5"
"239","cg06533408",-0.000170064,2.98e-05,1.17e-08,NA,"Alcohol","P1E5"
"240","cg17164905",-0.00013746,2.41e-05,1.17e-08,NA,"Alcohol","P1E5"
"241","cg04460609",-0.000371151,6.52e-05,1.23e-08,NA,"Alcohol","P1E5"
"242","cg00464927",0.000122261,2.15e-05,1.24e-08,NA,"Alcohol","P1E5"
"243","cg13879047",-0.000111936,1.97e-05,1.26e-08,NA,"Alcohol","P1E5"
"244","cg27486585",-0.000183923,3.23e-05,1.27e-08,NA,"Alcohol","P1E5"
"245","cg22505006",-0.000163279,2.87e-05,1.28e-08,NA,"Alcohol","P1E5"
"246","cg19554457",-0.000234466,4.12e-05,1.28e-08,NA,"Alcohol","P1E5"
"247","cg00085438",-0.00021381,3.76e-05,1.28e-08,NA,"Alcohol","P1E5"
"248","cg22510139",-0.000239165,4.2e-05,1.29e-08,NA,"Alcohol","P1E5"
"249","cg07451297",-0.00015954,2.81e-05,1.33e-08,NA,"Alcohol","P1E5"
"250","cg07735969",-0.000109615,1.93e-05,1.36e-08,NA,"Alcohol","P1E5"
"251","cg26039141",-0.000127455,2.25e-05,1.38e-08,NA,"Alcohol","P1E5"
"252","cg21130958",-0.000182331,3.21e-05,1.38e-08,NA,"Alcohol","P1E5"
"253","cg07567724",-0.000346834,6.12e-05,1.43e-08,NA,"Alcohol","P1E5"
"254","cg17485681",-0.000230398,4.07e-05,1.51e-08,NA,"Alcohol","P1E5"
"255","cg20484086",-0.000260199,4.6e-05,1.52e-08,NA,"Alcohol","P1E5"
"256","cg11617964",-0.000305609,5.4e-05,1.54e-08,NA,"Alcohol","P1E5"
"257","cg04737759",0.000101883,1.8e-05,1.59e-08,NA,"Alcohol","P1E5"
"258","cg10089657",0.000122239,2.17e-05,1.66e-08,NA,"Alcohol","P1E5"
"259","cg23629150",-0.000240933,4.27e-05,1.67e-08,NA,"Alcohol","P1E5"
"260","cg03021802",-0.000183841,3.26e-05,1.7e-08,NA,"Alcohol","P1E5"
"261","cg24135793",-0.000293472,5.21e-05,1.74e-08,NA,"Alcohol","P1E5"
"262","cg00326958",-0.000185588,3.29e-05,1.76e-08,NA,"Alcohol","P1E5"
"263","cg06934523",-0.00020561,3.65e-05,1.76e-08,NA,"Alcohol","P1E5"
"264","cg12554573",-0.000141513,2.51e-05,1.79e-08,NA,"Alcohol","P1E5"
"265","cg06657944",-7.46e-05,1.33e-05,1.81e-08,NA,"Alcohol","P1E5"
"266","cg14035045",-0.000169382,3.01e-05,1.85e-08,NA,"Alcohol","P1E5"
"267","cg09613192",-0.000278778,4.96e-05,1.87e-08,NA,"Alcohol","P1E5"
"268","cg03603530",-0.000108706,1.93e-05,1.92e-08,NA,"Alcohol","P1E5"
"269","cg05603985",-0.000253797,4.52e-05,1.94e-08,NA,"Alcohol","P1E5"
"270","cg00549412",-0.000191036,3.4e-05,2e-08,NA,"Alcohol","P1E5"
"271","cg05915866",-0.000261383,4.66e-05,2e-08,NA,"Alcohol","P1E5"
"272","cg12752647",-0.000129638,2.31e-05,2.01e-08,NA,"Alcohol","P1E5"
"273","cg08766770",-0.000130424,2.32e-05,2.02e-08,NA,"Alcohol","P1E5"
"274","cg00657780",-0.000179482,3.2e-05,2.03e-08,NA,"Alcohol","P1E5"
"275","cg07556911",0.000123825,2.21e-05,2.1e-08,NA,"Alcohol","P1E5"
"276","cg27180443",-0.000226013,4.04e-05,2.2e-08,NA,"Alcohol","P1E5"
"277","cg04418434",-0.000133156,2.38e-05,2.25e-08,NA,"Alcohol","P1E5"
"278","cg23893460",0.000104928,1.88e-05,2.28e-08,NA,"Alcohol","P1E5"
"279","cg01850135",0.000191881,3.43e-05,2.31e-08,NA,"Alcohol","P1E5"
"280","cg22268510",-0.000285806,5.12e-05,2.34e-08,NA,"Alcohol","P1E5"
"281","cg05152300",-0.000135229,2.42e-05,2.34e-08,NA,"Alcohol","P1E5"
"282","cg07286682",0.000197101,3.53e-05,2.39e-08,NA,"Alcohol","P1E5"
"283","cg05262369",-0.000159431,2.86e-05,2.41e-08,NA,"Alcohol","P1E5"
"284","cg18483487",-0.00020568,3.69e-05,2.42e-08,NA,"Alcohol","P1E5"
"285","cg05527044",-0.000115123,2.07e-05,2.5e-08,NA,"Alcohol","P1E5"
"286","cg15117681",0.00013987,2.51e-05,2.59e-08,NA,"Alcohol","P1E5"
"287","cg16290996",-0.000319806,5.75e-05,2.61e-08,NA,"Alcohol","P1E5"
"288","cg03339609",-0.000301051,5.41e-05,2.66e-08,NA,"Alcohol","P1E5"
"289","cg03617456",-9.87e-05,1.77e-05,2.68e-08,NA,"Alcohol","P1E5"
"290","cg05668853",-0.000200714,3.61e-05,2.68e-08,NA,"Alcohol","P1E5"
"291","cg10456541",-0.000190486,3.43e-05,2.69e-08,NA,"Alcohol","P1E5"
"292","cg07805604",-0.000144105,2.59e-05,2.72e-08,NA,"Alcohol","P1E5"
"293","cg21846790",-0.00013504,2.43e-05,2.78e-08,NA,"Alcohol","P1E5"
"294","cg09906145",-9.78e-05,1.76e-05,2.81e-08,NA,"Alcohol","P1E5"
"295","cg09577455",-0.000155485,2.8e-05,2.97e-08,NA,"Alcohol","P1E5"
"296","cg17378803",-0.00024546,4.43e-05,2.98e-08,NA,"Alcohol","P1E5"
"297","cg02314339",-0.000254186,4.59e-05,3.06e-08,NA,"Alcohol","P1E5"
"298","cg02282631",-0.000324862,5.87e-05,3.07e-08,NA,"Alcohol","P1E5"
"299","cg01378158",-0.000167519,3.03e-05,3.11e-08,NA,"Alcohol","P1E5"
"300","cg22052056",-0.000179502,3.25e-05,3.37e-08,NA,"Alcohol","P1E5"
"301","cg25197194",0.000299216,5.42e-05,3.38e-08,NA,"Alcohol","P1E5"
"302","cg00026553",-0.000154797,2.81e-05,3.43e-08,NA,"Alcohol","P1E5"
