"","CpG","Beta","SE","P","FDR","Trait","threshold"
"45","cg03433712",0.001929232,0.000434862,9.15e-06,0.096203025,"HEPTACHLOR","F01"
"46","cg03490288",-0.00313566,0.00068961,5.44e-06,0.079377942,"HEPTACHLOR","F01"
"47","cg05088513",-0.006667303,0.001311766,3.72e-07,0.046855455,"HEPTACHLOR","F01"
"48","cg05166801",-0.004589745,0.000923396,6.68e-07,0.055616533,"HEPTACHLOR","F01"
"49","cg06039417",0.019042519,0.003996989,1.9e-06,0.07266779,"HEPTACHLOR","F01"
"50","cg07179146",-0.002291283,0.000516021,8.98e-06,0.096203025,"HEPTACHLOR","F01"
"51","cg07475232",-0.000626119,0.000127364,8.83e-07,0.055616533,"HEPTACHLOR","F01"
"52","cg08493837",-0.000683785,0.000154922,1.02e-05,0.098523445,"HEPTACHLOR","F01"
"53","cg09030830",-0.001327349,0.000296461,7.56e-06,0.089228263,"HEPTACHLOR","F01"
"54","cg09056639",-0.003011021,0.000660672,5.18e-06,0.079377942,"HEPTACHLOR","F01"
"55","cg10652646",0.002283777,0.000461793,7.6e-07,0.055616533,"HEPTACHLOR","F01"
"56","cg11691038",-0.001163317,0.000226768,2.9e-07,0.043781281,"HEPTACHLOR","F01"
"57","cg11718443",-0.004647357,0.001011859,4.37e-06,0.073050733,"HEPTACHLOR","F01"
"58","cg11744767",0.018494703,0.003670272,4.68e-07,0.050492,"HEPTACHLOR","F01"
"59","cg12651761",-0.003518599,0.000783946,7.18e-06,0.087476475,"HEPTACHLOR","F01"
"60","cg13563863",-0.001305414,0.000294895,9.57e-06,0.097192599,"HEPTACHLOR","F01"
"61","cg14870136",-0.014033619,0.002886548,1.16e-06,0.06762417,"HEPTACHLOR","F01"
"62","cg15783822",-0.001795242,0.000395804,5.74e-06,0.079890214,"HEPTACHLOR","F01"
"63","cg16310513",0.025515429,0.004734661,7.08e-08,0.017835156,"HEPTACHLOR","F01"
"64","cg17030981",-0.006324009,0.001429186,9.65e-06,0.097192599,"HEPTACHLOR","F01"
"65","cg18249908",-0.003135672,0.000665585,2.46e-06,0.07266779,"HEPTACHLOR","F01"
"66","cg18284070",-0.000370667,6.5e-05,1.19e-08,0.009025222,"HEPTACHLOR","F01"
"67","cg18927181",-0.007405942,0.001608199,4.12e-06,0.073050733,"HEPTACHLOR","F01"
"68","cg19021431",-0.001773412,0.000377794,2.68e-06,0.07266779,"HEPTACHLOR","F01"
"69","cg19454317",0.00691307,0.001537699,6.93e-06,0.085870174,"HEPTACHLOR","F01"
"70","cg21278723",-0.005123869,0.001148374,8.13e-06,0.094443956,"HEPTACHLOR","F01"
"71","cg22768891",-0.002568306,0.000552524,3.35e-06,0.073050733,"HEPTACHLOR","F01"
"72","cg23460697",-0.001704757,0.000386624,1.04e-05,0.098523445,"HEPTACHLOR","F01"
"73","cg25204764",-0.010515352,0.002389347,1.08e-05,0.099826558,"HEPTACHLOR","F01"
"74","cg25983553",0.004573208,0.000996499,4.45e-06,0.073050733,"HEPTACHLOR","F01"
"75","cg13332807",0.004840902,0.000991629,1.05e-06,0.09928935,"MALATHION","F01"
"76","cg25634457",-0.004368494,0.000871879,5.43e-07,0.09928935,"MALATHION","F01"
"77","cg00735923",-0.006069785,0.001369126,9.28e-06,0.062166879,"MESOTRIONE","F01"
"78","cg00746783",0.00163426,0.000338677,1.4e-06,0.025130067,"MESOTRIONE","F01"
"79","cg00956423",-0.014458774,0.003206138,6.49e-06,0.055188748,"MESOTRIONE","F01"
"80","cg01096199",-0.003589584,0.000774699,3.6e-06,0.044524642,"MESOTRIONE","F01"
"81","cg01275588",-0.001437127,0.000324332,9.38e-06,0.062166879,"MESOTRIONE","F01"
"82","cg01441612",-0.001415649,0.000311502,5.5e-06,0.054004454,"MESOTRIONE","F01"
"83","cg01625222",0.007860067,0.001479917,1.09e-07,0.005894382,"MESOTRIONE","F01"
"84","cg01919701",0.050542489,0.008848954,1.12e-08,0.002362234,"MESOTRIONE","F01"
"85","cg02232206",0.003002643,0.000652929,4.25e-06,0.045231137,"MESOTRIONE","F01"
"86","cg02475474",0.008751586,0.001966528,8.58e-06,0.060443769,"MESOTRIONE","F01"
"87","cg04975617",0.021289417,0.004548745,2.86e-06,0.037970343,"MESOTRIONE","F01"
"88","cg05158219",-0.001161437,0.000264487,1.13e-05,0.067031552,"MESOTRIONE","F01"
"89","cg05467890",0.006439635,0.001515997,2.16e-05,0.092149023,"MESOTRIONE","F01"
"90","cg05533953",-0.001198336,0.000280045,1.88e-05,0.083894674,"MESOTRIONE","F01"
"91","cg05702633",-0.001661299,0.000339679,1e-06,0.021678596,"MESOTRIONE","F01"
"92","cg06932756",0.000572147,0.00013319,1.74e-05,0.081094956,"MESOTRIONE","F01"
"93","cg07365623",0.001206495,0.000280684,1.72e-05,0.081094956,"MESOTRIONE","F01"
"94","cg08348422",0.009368552,0.002100825,8.22e-06,0.060443769,"MESOTRIONE","F01"
"95","cg10002066",0.026425188,0.005230956,4.38e-07,0.013080852,"MESOTRIONE","F01"
"96","cg10231626",-0.000971405,0.00022786,2.02e-05,0.087508598,"MESOTRIONE","F01"
"97","cg10826045",-0.000974738,0.000218001,7.78e-06,0.059770312,"MESOTRIONE","F01"
"98","cg11368900",0.003332144,0.000685042,1.15e-06,0.022267637,"MESOTRIONE","F01"
"99","cg11935018",-0.001742435,0.000390688,8.2e-06,0.060443769,"MESOTRIONE","F01"
"100","cg12144573",0.003400316,0.000712362,1.81e-06,0.026778174,"MESOTRIONE","F01"
"101","cg12730424",-0.00089658,0.000200807,8.01e-06,0.060443769,"MESOTRIONE","F01"
"102","cg13030786",-0.00136515,0.000323193,2.4e-05,0.098813941,"MESOTRIONE","F01"
"103","cg13134634",0.018163278,0.004156851,1.25e-05,0.06866404,"MESOTRIONE","F01"
"104","cg13732895",0.019239074,0.004378725,1.11e-05,0.067031552,"MESOTRIONE","F01"
"105","cg13793678",-0.005807709,0.001354638,1.81e-05,0.08231888,"MESOTRIONE","F01"
"106","cg14063331",0.03436354,0.006505191,1.27e-07,0.006017784,"MESOTRIONE","F01"
"107","cg14296903",-0.001570986,0.000311588,4.61e-07,0.013080852,"MESOTRIONE","F01"
"108","cg14384263",0.009073548,0.002023398,7.31e-06,0.05817239,"MESOTRIONE","F01"
"109","cg14568032",0.00209376,0.000446498,2.74e-06,0.03698444,"MESOTRIONE","F01"
"110","cg14602222",-0.038621345,0.008668761,8.38e-06,0.060443769,"MESOTRIONE","F01"
"111","cg14613228",0.0212915,0.004824597,1.02e-05,0.064375642,"MESOTRIONE","F01"
"112","cg14839932",-0.00763882,0.001456289,1.56e-07,0.006545118,"MESOTRIONE","F01"
"113","cg15196529",0.021318255,0.004634761,4.23e-06,0.045231137,"MESOTRIONE","F01"
"114","cg15344234",-0.015423792,0.003516816,1.16e-05,0.067992701,"MESOTRIONE","F01"
"115","cg15415194",0.022695479,0.004998189,5.61e-06,0.054142167,"MESOTRIONE","F01"
"116","cg16258223",0.0542101,0.009898977,4.34e-08,0.003685684,"MESOTRIONE","F01"
"117","cg16449687",-0.033298628,0.006964817,1.74e-06,0.026358331,"MESOTRIONE","F01"
"118","cg16508857",-0.000901823,0.000204905,1.08e-05,0.06647603,"MESOTRIONE","F01"
"119","cg16809293",0.00585695,0.001292809,5.89e-06,0.054908535,"MESOTRIONE","F01"
"120","cg16966962",-0.003191455,0.00073005,1.23e-05,0.06866404,"MESOTRIONE","F01"
"121","cg16972491",-0.001414724,0.00030572,3.7e-06,0.044826421,"MESOTRIONE","F01"
"122","cg17774764",0.008728517,0.001872224,3.13e-06,0.040767974,"MESOTRIONE","F01"
"123","cg18025430",-0.011166706,0.001910164,5.04e-09,0.002362234,"MESOTRIONE","F01"
"124","cg18050804",0.004895025,0.001090999,7.23e-06,0.058127015,"MESOTRIONE","F01"
"125","cg18074297",0.009281507,0.002161774,1.76e-05,0.081094956,"MESOTRIONE","F01"
"126","cg19795592",-0.000779841,0.000182564,1.94e-05,0.08524379,"MESOTRIONE","F01"
"127","cg19869698",-0.014372179,0.002951141,1.12e-06,0.022267637,"MESOTRIONE","F01"
"128","cg20151301",0.041121975,0.008573697,1.62e-06,0.025271932,"MESOTRIONE","F01"
"129","cg20372689",-0.000970435,0.00022238,1.28e-05,0.06866404,"MESOTRIONE","F01"
"130","cg20682639",0.025728014,0.005343477,1.47e-06,0.025271932,"MESOTRIONE","F01"
"131","cg20711383",-0.010727312,0.002380136,6.57e-06,0.055188748,"MESOTRIONE","F01"
"132","cg20998090",-0.001430156,0.000298165,1.61e-06,0.025271932,"MESOTRIONE","F01"
"133","cg21270074",-0.000581613,0.000104364,2.5e-08,0.003685684,"MESOTRIONE","F01"
"134","cg21750915",0.004176585,0.000938306,8.54e-06,0.060443769,"MESOTRIONE","F01"
"135","cg22053500",-0.001776731,0.000312109,1.25e-08,0.002362234,"MESOTRIONE","F01"
"136","cg22171142",-0.002706091,0.000620145,1.28e-05,0.06866404,"MESOTRIONE","F01"
"137","cg22355463",-0.01754662,0.003804174,3.98e-06,0.044826421,"MESOTRIONE","F01"
"138","cg22846334",0.002608001,0.000607285,1.75e-05,0.081094956,"MESOTRIONE","F01"
"139","cg23065715",0.030096546,0.006967255,1.56e-05,0.080288663,"MESOTRIONE","F01"
"140","cg23569945",-0.003579676,0.000813555,1.08e-05,0.06647603,"MESOTRIONE","F01"
"141","cg23808916",0.004535565,0.001003146,6.14e-06,0.055188748,"MESOTRIONE","F01"
"142","cg24367316",-0.000830844,0.000182156,5.09e-06,0.051239374,"MESOTRIONE","F01"
"143","cg24986058",0.001713152,0.000376147,5.25e-06,0.052204381,"MESOTRIONE","F01"
"144","cg25162270",0.014995095,0.003120274,1.54e-06,0.025271932,"MESOTRIONE","F01"
"145","cg26282236",-0.048326692,0.011128674,1.41e-05,0.074410895,"MESOTRIONE","F01"
"146","cg27645228",0.004491286,0.000990143,5.73e-06,0.054142167,"MESOTRIONE","F01"
"147","cg02877538",-0.002145262,0.000450371,1.9e-06,0.092611091,"METOLACHLOR","F01"
"148","cg16570157",-0.003388586,0.000679721,6.19e-07,0.06231337,"METOLACHLOR","F01"
"149","cg17847344",0.046745492,0.009812369,1.9e-06,0.092611091,"METOLACHLOR","F01"
"150","cg18085807",-0.001620583,0.000290797,2.51e-08,0.00630931,"METOLACHLOR","F01"
"151","cg20390515",-0.001699639,0.000295731,9.07e-09,0.003426533,"METOLACHLOR","F01"
"152","cg23408913",-0.001017722,0.000214376,2.06e-06,0.092611091,"METOLACHLOR","F01"
"153","cg25660890",0.003745361,0.000753166,6.6e-07,0.06231337,"METOLACHLOR","F01"
"4048","cg00549973",-0.003095365,0.000677257,4.87e-06,0.062320734,"PICLORAM","F01"
"4049","cg00669044",0.002419138,0.000551461,1.15e-05,0.091656289,"PICLORAM","F01"
"4050","cg02034311",-0.05649302,0.010483618,7.1e-08,0.006702236,"PICLORAM","F01"
"4051","cg03032247",-0.006674434,0.001327807,4.99e-07,0.017183033,"PICLORAM","F01"
"4052","cg03299066",-0.000605848,0.000118588,3.24e-07,0.015303489,"PICLORAM","F01"
"4053","cg03797705",-0.000469339,0.000103641,5.94e-06,0.064364566,"PICLORAM","F01"
"4054","cg03935432",-0.001353376,0.000266597,3.84e-07,0.016020956,"PICLORAM","F01"
"4055","cg04155830",-0.015425326,0.003259006,2.21e-06,0.037959016,"PICLORAM","F01"
"4056","cg04302946",-0.000251932,5.8e-05,1.39e-05,0.099845009,"PICLORAM","F01"
"4057","cg04525491",-0.00056522,0.000120965,2.97e-06,0.046814855,"PICLORAM","F01"
"4058","cg04815626",-0.001430003,0.000252272,1.44e-08,0.002176649,"PICLORAM","F01"
"4059","cg04873548",-0.00167265,0.000351974,2.01e-06,0.03701173,"PICLORAM","F01"
"4060","cg05255305",-0.002201122,0.000462076,1.9e-06,0.03701173,"PICLORAM","F01"
"4061","cg05791881",0.002219206,0.000509266,1.31e-05,0.097763873,"PICLORAM","F01"
"4062","cg06216309",0.029065681,0.004263475,9.27e-12,7.01e-06,"PICLORAM","F01"
"4063","cg06508623",0.00578165,0.001309196,1e-05,0.086244129,"PICLORAM","F01"
"4064","cg07346177",0.002851562,0.000618313,3.99e-06,0.056891954,"PICLORAM","F01"
"4065","cg08336315",-0.003368796,0.000753504,7.79e-06,0.075464546,"PICLORAM","F01"
"4066","cg08484934",-0.000626975,0.000138943,6.41e-06,0.066656614,"PICLORAM","F01"
"4067","cg09050062",-0.00124661,0.00027214,4.63e-06,0.06098176,"PICLORAM","F01"
"4068","cg09395085",-0.000670518,0.000152476,1.09e-05,0.091656289,"PICLORAM","F01"
"4069","cg09671989",0.006498695,0.001122921,7.15e-09,0.001801133,"PICLORAM","F01"
"4070","cg10035066",0.003921389,0.000863548,5.6e-06,0.064364566,"PICLORAM","F01"
"4071","cg10929210",0.043833267,0.010048038,1.29e-05,0.097763873,"PICLORAM","F01"
"4072","cg15928188",0.012845089,0.002707013,2.08e-06,0.03701173,"PICLORAM","F01"
"4073","cg16188532",-0.001204006,0.000221893,5.76e-08,0.006507302,"PICLORAM","F01"
"4074","cg16661473",0.002789579,0.000573755,1.16e-06,0.025445682,"PICLORAM","F01"
"4075","cg17128892",-0.001327628,0.000279825,2.09e-06,0.03701173,"PICLORAM","F01"
"4076","cg17279912",-0.015371497,0.003258943,2.4e-06,0.040239978,"PICLORAM","F01"
"4077","cg18532869",-0.001653061,0.00037342,9.56e-06,0.083048052,"PICLORAM","F01"
"4078","cg20264068",-0.006296473,0.001327362,2.1e-06,0.03701173,"PICLORAM","F01"
"4079","cg20822372",-0.017283409,0.00355687,1.18e-06,0.025445682,"PICLORAM","F01"
"4080","cg21158075",-0.113788723,0.023169773,9.06e-07,0.022809174,"PICLORAM","F01"
"4081","cg21172322",-0.03950975,0.008896875,8.96e-06,0.080765312,"PICLORAM","F01"
"4082","cg21760990",0.029403317,0.00515694,1.19e-08,0.002176649,"PICLORAM","F01"
"4083","cg22058099",-0.001017959,0.000214627,2.11e-06,0.03701173,"PICLORAM","F01"
"4084","cg22104578",-0.00275534,0.00060179,4.68e-06,0.06098176,"PICLORAM","F01"
"4085","cg22511904",-0.000647901,0.000136368,2.02e-06,0.03701173,"PICLORAM","F01"
"4086","cg23153481",-0.010394214,0.002157491,1.45e-06,0.030471141,"PICLORAM","F01"
"4087","cg23532246",-0.002691925,0.000617591,1.31e-05,0.097763873,"PICLORAM","F01"
"4088","cg24763126",-0.000751534,0.000171423,1.16e-05,0.091656289,"PICLORAM","F01"
"4089","cg25616992",0.005096018,0.001123172,5.7e-06,0.064364566,"PICLORAM","F01"
"4090","cg26250154",-0.05982366,0.01290604,3.56e-06,0.052792551,"PICLORAM","F01"
"4091","cg26427270",-0.009004086,0.001828213,8.43e-07,0.022579206,"PICLORAM","F01"
"4092","cg27134342",-0.002176979,0.000477232,5.07e-06,0.062943221,"PICLORAM","F01"
"4093","cg27526774",-0.000473403,0.00010829,1.23e-05,0.095081062,"PICLORAM","F01"
"5479","cg16145216",0.0298,0.002,6.7e-48,3.3e-42,"smoking","F01"
"5480","cg19406367",0.0175,0.0013,7e-44,1.7e-38,"smoking","F01"
"5481","cg05603985",-0.0122,9e-04,1.8e-43,2.8e-38,"smoking","F01"
"5482","cg14099685",-0.0124,9e-04,1.5e-42,1.8e-37,"smoking","F01"
"5483","cg01097768",-0.0166,0.0013,6.8e-35,4.7e-30,"smoking","F01"
"5484","cg07954423",-0.0134,0.0011,1.2e-34,6.3e-30,"smoking","F01"
"5485","cg01083131",-0.0155,0.0013,3.7e-34,1.6e-29,"smoking","F01"
"5486","cg06121808",-0.0143,0.0012,2.1e-32,7.9e-28,"smoking","F01"
"5487","cg10062919",-0.0128,0.0011,9.2e-32,3.2e-27,"smoking","F01"
"5488","cg20066188",-0.0252,0.0022,1.6e-31,5.2e-27,"smoking","F01"
"5489","cg04551776",-0.0244,0.0021,5.8e-31,1.8e-26,"smoking","F01"
"5490","cg11152412",-0.0077,7e-04,1.8e-30,5e-26,"smoking","F01"
"5491","cg11902777",-0.0201,0.0018,9.1e-30,2.3e-25,"smoking","F01"
"5492","cg25212453",-0.0101,9e-04,1.4e-29,3.5e-25,"smoking","F01"
"5493","cg04956244",0.0122,0.0011,1.5e-29,3.5e-25,"smoking","F01"
"5494","cg13951797",-0.0153,0.0014,1.6e-29,3.5e-25,"smoking","F01"
"5495","cg11028075",0.0175,0.0016,1.7e-29,3.6e-25,"smoking","F01"
"5496","cg11700584",-0.0151,0.0013,3.4e-29,6.8e-25,"smoking","F01"
"5497","cg22417733",-0.0171,0.0015,1.5e-28,2.7e-24,"smoking","F01"
"5498","cg26764244",-0.0316,0.0029,1.8e-28,3e-24,"smoking","F01"
"5499","cg26077378",-0.0178,0.0016,3.6e-28,5.8e-24,"smoking","F01"
"5500","cg05951221",-0.0966,0.009,4.3e-27,6.8e-23,"smoking","F01"
"5501","cg22407942",-0.0183,0.0017,6.8e-27,1e-22,"smoking","F01"
"5502","cg01442064",-0.0128,0.0012,1.6e-26,2.3e-22,"smoking","F01"
"5503","cg25197194",0.0203,0.0019,1.7e-26,2.4e-22,"smoking","F01"
"5504","cg05575921",-0.1803,0.0171,4.5e-26,6.1e-22,"smoking","F01"
"5505","cg08118908",0.0053,5e-04,5.4e-26,7.1e-22,"smoking","F01"
"5506","cg10814005",-0.0159,0.0015,6e-26,7.7e-22,"smoking","F01"
"5507","cg25421530",0.0128,0.0012,1.5e-25,1.8e-21,"smoking","F01"
"5508","cg14003265",-0.0106,0.001,3.2e-25,3.7e-21,"smoking","F01"
"5509","cg10919522",-0.0186,0.0018,4e-25,4.4e-21,"smoking","F01"
"5510","cg11660018",-0.0391,0.0038,4.1e-25,4.4e-21,"smoking","F01"
"5511","cg21566642",-0.1257,0.0121,4.2e-25,4.5e-21,"smoking","F01"
"5512","cg25949550",-0.0199,0.0019,9e-25,9.3e-21,"smoking","F01"
"5513","cg17025683",-0.0118,0.0012,1.1e-24,1.1e-20,"smoking","F01"
"5514","cg02583484",-0.026,0.0025,1.8e-24,1.7e-20,"smoking","F01"
"5515","cg09735822",0.01,0.001,2.6e-24,2.5e-20,"smoking","F01"
"5516","cg02556393",-0.0162,0.0016,2.8e-24,2.6e-20,"smoking","F01"
"5517","cg02637282",0.0124,0.0012,6e-24,5.4e-20,"smoking","F01"
"5518","cg03440944",-0.015,0.0015,1.9e-23,1.6e-19,"smoking","F01"
"5519","cg01218206",-0.015,0.0015,3.1e-23,2.5e-19,"smoking","F01"
"5520","cg16151960",-0.0125,0.0013,4.1e-23,3.3e-19,"smoking","F01"
"5521","cg00930606",-0.0105,0.0011,6.5e-23,5.2e-19,"smoking","F01"
"5522","cg04761231",-0.01,0.001,7e-23,5.5e-19,"smoking","F01"
"5523","cg01971407",-0.0152,0.0015,7.8e-23,6e-19,"smoking","F01"
"5524","cg04987734",0.0149,0.0015,9e-23,6.8e-19,"smoking","F01"
"5525","cg12803068",0.0632,0.0064,9.1e-23,6.8e-19,"smoking","F01"
"5526","cg16295156",-0.0094,0.001,1.1e-22,8.1e-19,"smoking","F01"
"5527","cg05329352",-0.0286,0.0029,2.2e-22,1.6e-18,"smoking","F01"
"5528","cg27118035",0.0136,0.0014,2.4e-22,1.7e-18,"smoking","F01"
"5529","cg03140521",-0.0151,0.0016,2.8e-22,1.9e-18,"smoking","F01"
"5530","cg17214023",-0.0103,0.0011,3e-22,2e-18,"smoking","F01"
"5531","cg00300637",0.0128,0.0013,3.8e-22,2.6e-18,"smoking","F01"
"5532","cg25809905",0.0233,0.0024,4.5e-22,2.9e-18,"smoking","F01"
"5533","cg16794579",-0.0147,0.0015,5.1e-22,3.3e-18,"smoking","F01"
"5534","cg25189904",-0.0768,0.008,5.2e-22,3.3e-18,"smoking","F01"
"5535","cg01937809",-0.016,0.0017,5.4e-22,3.4e-18,"smoking","F01"
"5536","cg11927233",-0.017,0.0018,8.4e-22,5.1e-18,"smoking","F01"
"5537","cg20902353",-0.0105,0.0011,1.4e-21,7.9e-18,"smoking","F01"
"5538","cg08709672",-0.0227,0.0024,1.5e-21,8.8e-18,"smoking","F01"
"5539","cg27627381",-0.0063,7e-04,2e-21,1.1e-17,"smoking","F01"
"5540","cg18450254",0.012,0.0013,2.3e-21,1.3e-17,"smoking","F01"
"5541","cg06753787",0.0063,7e-04,3.2e-21,1.8e-17,"smoking","F01"
"5542","cg14183922",-0.0094,0.001,5e-21,2.7e-17,"smoking","F01"
"5543","cg07029024",0.0129,0.0014,5.5e-21,2.9e-17,"smoking","F01"
"5544","cg21990700",-0.0151,0.0016,7.5e-21,3.9e-17,"smoking","F01"
"5545","cg26257411",-0.0065,7e-04,8.4e-21,4.3e-17,"smoking","F01"
"5546","cg19093370",0.0198,0.0021,8.7e-21,4.4e-17,"smoking","F01"
"5547","cg03636183",-0.0953,0.0102,1.1e-20,5.7e-17,"smoking","F01"
"5548","cg19859270",-0.023,0.0025,1.3e-20,6.3e-17,"smoking","F01"
"5549","cg14550518",-0.0079,8e-04,1.3e-20,6.6e-17,"smoking","F01"
"5550","cg01439566",0.0071,8e-04,1.7e-20,8.1e-17,"smoking","F01"
"5551","cg06126421",-0.0973,0.0105,1.7e-20,8.3e-17,"smoking","F01"
"5552","cg06951627",-0.0155,0.0017,1.7e-20,8.3e-17,"smoking","F01"
"5553","cg22052143",0.0107,0.0012,1.9e-20,8.9e-17,"smoking","F01"
"5554","cg09182189",-0.0104,0.0011,2e-20,9.2e-17,"smoking","F01"
"5555","cg18369990",0.0116,0.0013,2.3e-20,1.1e-16,"smoking","F01"
"5556","cg25593631",-0.015,0.0016,2.4e-20,1.1e-16,"smoking","F01"
"5557","cg03980408",-0.0094,0.001,2.7e-20,1.2e-16,"smoking","F01"
"5558","cg24578857",0.02,0.0022,3.1e-20,1.4e-16,"smoking","F01"
"5559","cg26477856",-0.0096,0.001,3.2e-20,1.4e-16,"smoking","F01"
"5560","cg16776035",0.0086,9e-04,3.6e-20,1.6e-16,"smoking","F01"
"5561","cg24399529",0.013,0.0014,3.6e-20,1.6e-16,"smoking","F01"
"5562","cg15228441",-0.0138,0.0015,3.8e-20,1.6e-16,"smoking","F01"
"5563","cg26361535",-0.0382,0.0042,4.2e-20,1.8e-16,"smoking","F01"
"5564","cg11390978",-0.0092,0.001,4.5e-20,1.9e-16,"smoking","F01"
"5565","cg05593667",-0.012,0.0013,5.5e-20,2.3e-16,"smoking","F01"
"5566","cg23916896",-0.0588,0.0064,6.3e-20,2.6e-16,"smoking","F01"
"5567","cg20408402",0.0085,9e-04,7.6e-20,3.1e-16,"smoking","F01"
"5568","cg27537125",-0.019,0.0021,1.4e-19,5.5e-16,"smoking","F01"
"5569","cg13910681",-0.0082,9e-04,1.7e-19,6.9e-16,"smoking","F01"
"5570","cg04673446",0.006,7e-04,2e-19,8e-16,"smoking","F01"
"5571","cg05284742",-0.0271,0.003,2.1e-19,8.3e-16,"smoking","F01"
"5572","cg06803614",-0.0088,0.001,2.1e-19,8.3e-16,"smoking","F01"
"5573","cg22441770",-0.0159,0.0018,2.1e-19,8.3e-16,"smoking","F01"
"5574","cg25625514",-0.0124,0.0014,2.2e-19,8.5e-16,"smoking","F01"
"5575","cg03329539",-0.0434,0.0048,2.5e-19,9.7e-16,"smoking","F01"
"5576","cg23351584",-0.0106,0.0012,2.6e-19,1e-15,"smoking","F01"
"5577","cg16274678",-0.0152,0.0017,2.9e-19,1.1e-15,"smoking","F01"
"5578","cg21439672",-0.0153,0.0017,3.3e-19,1.2e-15,"smoking","F01"
"5579","cg07286341",-0.0077,9e-04,3.4e-19,1.3e-15,"smoking","F01"
"5580","cg20059928",-0.0293,0.0033,3.5e-19,1.3e-15,"smoking","F01"
"5581","cg20674424",-0.0091,0.001,4.2e-19,1.5e-15,"smoking","F01"
"5582","cg22571654",0.0097,0.0011,4.7e-19,1.7e-15,"smoking","F01"
"5583","cg02279625",0.0105,0.0012,4.8e-19,1.7e-15,"smoking","F01"
"5584","cg03485667",-0.0168,0.0019,5e-19,1.8e-15,"smoking","F01"
"5585","cg14656441",0.0162,0.0018,5.7e-19,2e-15,"smoking","F01"
"5586","cg10750182",-0.0188,0.0021,6.2e-19,2.2e-15,"smoking","F01"
"5587","cg07712198",0.0108,0.0012,6.5e-19,2.2e-15,"smoking","F01"
"5588","cg23198793",0.017,0.0019,6.6e-19,2.3e-15,"smoking","F01"
"5589","cg03051880",0.0107,0.0012,6.8e-19,2.3e-15,"smoking","F01"
"5590","cg02660097",0.0247,0.0028,7e-19,2.4e-15,"smoking","F01"
"5591","cg03531211",-0.0108,0.0012,7.5e-19,2.5e-15,"smoking","F01"
"5592","cg21733098",-0.0341,0.0039,7.9e-19,2.7e-15,"smoking","F01"
"5593","cg22132788",0.0463,0.0052,8.1e-19,2.7e-15,"smoking","F01"
"5594","cg10955164",-0.0079,9e-04,8.6e-19,2.8e-15,"smoking","F01"
"5595","cg11554391",-0.0234,0.0026,9.8e-19,3.2e-15,"smoking","F01"
