"","CpG","Beta","SE","P","FDR","Trait","threshold"
"51","cg19693031",-0.000439381,6.46e-05,1.02e-11,NA,"Alcohol","GW"
"52","cg16702313",-0.000158351,2.33e-05,1.04e-11,NA,"Alcohol","GW"
"53","cg20948740",-0.000285328,4.22e-05,1.34e-11,NA,"Alcohol","GW"
"54","cg21429551",-0.000845343,0.000125151,1.43e-11,NA,"Alcohol","GW"
"55","cg03997643",-0.000214019,3.17e-05,1.44e-11,NA,"Alcohol","GW"
"56","cg01234517",-9.27e-05,1.38e-05,1.85e-11,NA,"Alcohol","GW"
"57","cg27464065",-0.000290383,4.33e-05,1.95e-11,NA,"Alcohol","GW"
"58","cg00574958",-0.000101269,1.51e-05,2.09e-11,NA,"Alcohol","GW"
"59","cg12616487",-0.000167865,2.51e-05,2.1e-11,NA,"Alcohol","GW"
"60","cg19939077",-0.000226411,3.38e-05,2.24e-11,NA,"Alcohol","GW"
"61","cg22797644",-0.000223141,3.35e-05,2.57e-11,NA,"Alcohol","GW"
"62","cg20374917",-0.000162622,2.45e-05,3.2e-11,NA,"Alcohol","GW"
"63","cg05683445",-0.000169456,2.57e-05,3.95e-11,NA,"Alcohol","GW"
"64","cg22631938",-0.000232342,3.52e-05,3.99e-11,NA,"Alcohol","GW"
"65","cg07797660",-0.000232051,3.53e-05,4.75e-11,NA,"Alcohol","GW"
"66","cg14034325",-0.000235275,3.58e-05,5.18e-11,NA,"Alcohol","GW"
"67","cg08597832",-0.00016218,2.48e-05,6.12e-11,NA,"Alcohol","GW"
"68","cg00827581",0.00013067,2e-05,6.59e-11,NA,"Alcohol","GW"
"69","cg03260624",-0.000242304,3.74e-05,8.77e-11,NA,"Alcohol","GW"
"70","cg02256576",-0.00031293,4.84e-05,1e-10,NA,"Alcohol","GW"
"71","cg10750182",-0.000133251,2.06e-05,1.04e-10,NA,"Alcohol","GW"
"72","cg06096336",-0.000266204,4.14e-05,1.24e-10,NA,"Alcohol","GW"
"73","cg03497652",0.000222415,3.46e-05,1.27e-10,NA,"Alcohol","GW"
"74","cg12662084",-0.000348783,5.44e-05,1.4e-10,NA,"Alcohol","GW"
"75","cg26829071",0.000227163,3.55e-05,1.62e-10,NA,"Alcohol","GW"
"76","cg26430287",-0.000247362,3.87e-05,1.71e-10,NA,"Alcohol","GW"
"77","cg03359362",-6.21e-05,9.75e-06,1.87e-10,NA,"Alcohol","GW"
"78","cg23975840",0.000267792,4.21e-05,2e-10,NA,"Alcohol","GW"
"79","cg22876908",-0.000152717,2.4e-05,2.15e-10,NA,"Alcohol","GW"
"80","cg01538969",0.000209017,3.29e-05,2.24e-10,NA,"Alcohol","GW"
"81","cg06983052",-0.000311866,4.92e-05,2.39e-10,NA,"Alcohol","GW"
"82","cg03068497",-0.000768697,0.000121588,2.58e-10,NA,"Alcohol","GW"
"83","cg09326440",-7.55e-05,1.2e-05,2.71e-10,NA,"Alcohol","GW"
"84","cg18590502",-0.000329032,5.22e-05,2.83e-10,NA,"Alcohol","GW"
"85","cg12825509",-0.000524478,8.32e-05,2.96e-10,NA,"Alcohol","GW"
"86","cg01236573",-0.000200112,3.18e-05,3.05e-10,NA,"Alcohol","GW"
"87","cg14476101",-0.000940588,0.000150098,3.69e-10,NA,"Alcohol","GW"
"88","cg26569315",-6.46e-05,1.03e-05,4.05e-10,NA,"Alcohol","GW"
"89","cg11484872",-0.000238677,3.84e-05,4.91e-10,NA,"Alcohol","GW"
"90","cg03954858",0.000145633,2.35e-05,5.34e-10,NA,"Alcohol","GW"
"91","cg03689048",-0.000111641,1.8e-05,5.36e-10,NA,"Alcohol","GW"
"92","cg03345232",-0.000209487,3.38e-05,5.76e-10,NA,"Alcohol","GW"
"93","cg18125510",-0.00034229,5.53e-05,6.17e-10,NA,"Alcohol","GW"
"94","cg01687189",-0.000253427,4.1e-05,6.39e-10,NA,"Alcohol","GW"
"95","cg18328933",-0.000120354,1.95e-05,6.55e-10,NA,"Alcohol","GW"
"96","cg17865955",-0.000210619,3.42e-05,7e-10,NA,"Alcohol","GW"
"97","cg10589813",-0.00043552,7.07e-05,7.18e-10,NA,"Alcohol","GW"
"98","cg23534245",-0.000186225,3.02e-05,7.31e-10,NA,"Alcohol","GW"
"99","cg10317175",-0.000179648,2.92e-05,7.53e-10,NA,"Alcohol","GW"
"100","cg07091481",-0.000193968,3.16e-05,8.22e-10,NA,"Alcohol","GW"
"101","cg13442969",-0.000362448,5.91e-05,8.68e-10,NA,"Alcohol","GW"
"102","cg07176692",-0.00031186,5.11e-05,1.01e-09,NA,"Alcohol","GW"
"103","cg10816169",-0.000272511,4.46e-05,1.02e-09,NA,"Alcohol","GW"
"104","cg09907628",-0.000134987,2.21e-05,1.03e-09,NA,"Alcohol","GW"
"105","cg15059065",-0.000242701,4e-05,1.24e-09,NA,"Alcohol","GW"
"106","cg22871253",-0.000188219,3.1e-05,1.27e-09,NA,"Alcohol","GW"
"107","cg00247963",-0.000155303,2.56e-05,1.3e-09,NA,"Alcohol","GW"
"108","cg12067421",-0.000147351,2.43e-05,1.34e-09,NA,"Alcohol","GW"
"109","cg15821562",-0.000246252,4.07e-05,1.42e-09,NA,"Alcohol","GW"
"110","cg08115371",-0.000394429,6.52e-05,1.44e-09,NA,"Alcohol","GW"
"111","cg18954900",-0.000233979,3.87e-05,1.44e-09,NA,"Alcohol","GW"
"112","cg02654940",-0.000214334,3.54e-05,1.45e-09,NA,"Alcohol","GW"
"113","cg18159646",-0.000256959,4.25e-05,1.45e-09,NA,"Alcohol","GW"
"114","cg14676592",-0.0001352,2.24e-05,1.48e-09,NA,"Alcohol","GW"
"115","cg03485667",-0.000200024,3.31e-05,1.51e-09,NA,"Alcohol","GW"
"116","cg17390562",-0.000140907,2.33e-05,1.59e-09,NA,"Alcohol","GW"
"117","cg09257526",-0.00012733,2.12e-05,1.8e-09,NA,"Alcohol","GW"
"118","cg00812770",0.000127112,2.11e-05,1.82e-09,NA,"Alcohol","GW"
"119","cg06846495",-0.000233729,3.89e-05,1.86e-09,NA,"Alcohol","GW"
"120","cg26103104",-0.000343059,5.71e-05,1.92e-09,NA,"Alcohol","GW"
"121","cg04781796",0.000201398,3.35e-05,1.93e-09,NA,"Alcohol","GW"
"122","cg02578470",-0.000237701,3.96e-05,2.03e-09,NA,"Alcohol","GW"
"123","cg02231404",-0.000312955,5.22e-05,2.03e-09,NA,"Alcohol","GW"
"124","cg00045114",0.000249484,4.16e-05,2.04e-09,NA,"Alcohol","GW"
"125","cg20945261",-0.000191839,3.2e-05,2.08e-09,NA,"Alcohol","GW"
"126","cg18282388",0.0002136,3.57e-05,2.14e-09,NA,"Alcohol","GW"
"127","cg05465916",-0.00019089,3.19e-05,2.17e-09,NA,"Alcohol","GW"
"128","cg23712594",-0.000196963,3.29e-05,2.18e-09,NA,"Alcohol","GW"
"129","cg18765542",-0.000142943,2.39e-05,2.28e-09,NA,"Alcohol","GW"
"130","cg06644515",-0.000365342,6.11e-05,2.3e-09,NA,"Alcohol","GW"
"131","cg06516865",-0.000151603,2.54e-05,2.34e-09,NA,"Alcohol","GW"
"132","cg21369801",0.000197715,3.32e-05,2.48e-09,NA,"Alcohol","GW"
"133","cg27386529",-0.000198814,3.34e-05,2.61e-09,NA,"Alcohol","GW"
"134","cg04487857",0.000109109,1.83e-05,2.65e-09,NA,"Alcohol","GW"
"135","cg05457221",-0.000131515,2.21e-05,2.69e-09,NA,"Alcohol","GW"
"136","cg17192599",0.000193391,3.25e-05,2.8e-09,NA,"Alcohol","GW"
"137","cg05903736",-0.000164016,2.76e-05,2.89e-09,NA,"Alcohol","GW"
"138","cg18394552",0.000367256,6.19e-05,3.03e-09,NA,"Alcohol","GW"
"139","cg18120259",-0.00052297,8.82e-05,3.04e-09,NA,"Alcohol","GW"
"140","cg09042952",-4.57e-05,7.71e-06,3.11e-09,NA,"Alcohol","GW"
"141","cg19240637",-0.000223937,3.78e-05,3.21e-09,NA,"Alcohol","GW"
"142","cg11682350",-5.63e-05,9.51e-06,3.23e-09,NA,"Alcohol","GW"
"143","cg00986580",-0.000245028,4.14e-05,3.3e-09,NA,"Alcohol","GW"
"144","cg19578183",-0.000248248,4.2e-05,3.33e-09,NA,"Alcohol","GW"
"145","cg14473743",-0.000260987,4.41e-05,3.38e-09,NA,"Alcohol","GW"
"146","cg25612391",-0.000257381,4.35e-05,3.39e-09,NA,"Alcohol","GW"
"147","cg27479634",-0.000216929,3.67e-05,3.45e-09,NA,"Alcohol","GW"
"148","cg04961225",0.00023287,3.94e-05,3.51e-09,NA,"Alcohol","GW"
"149","cg23913963",-0.000267259,4.53e-05,3.59e-09,NA,"Alcohol","GW"
"150","cg03329539",-0.000229792,3.89e-05,3.6e-09,NA,"Alcohol","GW"
"151","cg09182138",-0.000154312,2.61e-05,3.6e-09,NA,"Alcohol","GW"
"152","cg06690548",-0.00133477,0.00022661,3.86e-09,NA,"Alcohol","GW"
"153","cg08429256",-0.000155808,2.65e-05,4.03e-09,NA,"Alcohol","GW"
"154","cg07180646",-0.000229401,3.9e-05,4.13e-09,NA,"Alcohol","GW"
"155","cg15699524",-0.000153203,2.61e-05,4.13e-09,NA,"Alcohol","GW"
"156","cg11197916",-0.000159894,2.72e-05,4.14e-09,NA,"Alcohol","GW"
"157","cg18530324",-0.000173123,2.95e-05,4.34e-09,NA,"Alcohol","GW"
"158","cg05012902",-0.000165956,2.83e-05,4.41e-09,NA,"Alcohol","GW"
"159","cg04610235",-0.000131691,2.25e-05,4.58e-09,NA,"Alcohol","GW"
"160","cg00622166",-0.000265203,4.53e-05,4.61e-09,NA,"Alcohol","GW"
"161","cg15804598",-0.000228213,3.89e-05,4.65e-09,NA,"Alcohol","GW"
"162","cg08335767",-0.000189721,3.24e-05,4.75e-09,NA,"Alcohol","GW"
"163","cg12807764",-0.000256786,4.39e-05,5e-09,NA,"Alcohol","GW"
"164","cg16889557",-0.000190117,3.25e-05,5.07e-09,NA,"Alcohol","GW"
"165","cg05721773",-0.000175489,3e-05,5.08e-09,NA,"Alcohol","GW"
"166","cg07104958",-0.00026315,4.51e-05,5.27e-09,NA,"Alcohol","GW"
"167","cg24848615",-0.000183639,3.15e-05,5.77e-09,NA,"Alcohol","GW"
"168","cg00594278",-0.000188514,3.24e-05,5.78e-09,NA,"Alcohol","GW"
"169","cg17768768",0.000133472,2.29e-05,5.88e-09,NA,"Alcohol","GW"
"170","cg12188860",-0.000239327,4.12e-05,6.17e-09,NA,"Alcohol","GW"
"171","cg04916802",-0.000196928,3.39e-05,6.33e-09,NA,"Alcohol","GW"
"172","cg19803952",-0.000159896,2.76e-05,6.65e-09,NA,"Alcohol","GW"
"173","cg14274621",-0.000137268,2.37e-05,6.67e-09,NA,"Alcohol","GW"
"174","cg00291478",-0.000339377,5.85e-05,6.69e-09,NA,"Alcohol","GW"
"175","cg01201215",-0.000155998,2.69e-05,6.76e-09,NA,"Alcohol","GW"
"176","cg24750156",-0.00020192,3.5e-05,8.04e-09,NA,"Alcohol","GW"
"177","cg00510149",-0.000156796,2.72e-05,8.14e-09,NA,"Alcohol","GW"
"178","cg02341119",-0.000244633,4.24e-05,8.15e-09,NA,"Alcohol","GW"
"179","cg12866859",-0.000183138,3.18e-05,8.32e-09,NA,"Alcohol","GW"
"180","cg00817377",-0.000128232,2.23e-05,8.36e-09,NA,"Alcohol","GW"
"181","cg18101225",0.000102643,1.78e-05,8.45e-09,NA,"Alcohol","GW"
"182","cg10554624",-0.000214178,3.72e-05,8.62e-09,NA,"Alcohol","GW"
"183","cg25643223",-0.000190149,3.3e-05,8.64e-09,NA,"Alcohol","GW"
"184","cg24420742",-0.000197272,3.43e-05,8.68e-09,NA,"Alcohol","GW"
"185","cg21578195",-0.000118018,2.05e-05,8.69e-09,NA,"Alcohol","GW"
"186","cg00432454",-0.000117396,2.04e-05,9.35e-09,NA,"Alcohol","GW"
"187","cg24642820",-0.000302378,5.27e-05,9.53e-09,NA,"Alcohol","GW"
"188","cg23166988",-0.000276846,4.83e-05,9.73e-09,NA,"Alcohol","GW"
"189","cg15055101",-0.000162025,2.83e-05,1e-08,NA,"Alcohol","GW"
"190","cg14145074",-0.000142457,2.49e-05,1.02e-08,NA,"Alcohol","GW"
"191","cg14330293",0.000128562,2.25e-05,1.03e-08,NA,"Alcohol","GW"
"192","cg23444264",-0.000193418,3.38e-05,1.04e-08,NA,"Alcohol","GW"
"193","cg17757575",-0.000205722,3.6e-05,1.07e-08,NA,"Alcohol","GW"
"194","cg26312998",-0.000170625,2.99e-05,1.09e-08,NA,"Alcohol","GW"
"195","cg20674424",-0.000210537,3.68e-05,1.11e-08,NA,"Alcohol","GW"
"196","cg03627290",-0.000109782,1.92e-05,1.12e-08,NA,"Alcohol","GW"
"197","cg18482892",-0.000225543,3.95e-05,1.15e-08,NA,"Alcohol","GW"
"198","cg27492942",-0.000189492,3.32e-05,1.17e-08,NA,"Alcohol","GW"
"199","cg06533408",-0.000170064,2.98e-05,1.17e-08,NA,"Alcohol","GW"
"200","cg17164905",-0.00013746,2.41e-05,1.17e-08,NA,"Alcohol","GW"
"201","cg04460609",-0.000371151,6.52e-05,1.23e-08,NA,"Alcohol","GW"
"202","cg00464927",0.000122261,2.15e-05,1.24e-08,NA,"Alcohol","GW"
"203","cg13879047",-0.000111936,1.97e-05,1.26e-08,NA,"Alcohol","GW"
"204","cg27486585",-0.000183923,3.23e-05,1.27e-08,NA,"Alcohol","GW"
"205","cg22505006",-0.000163279,2.87e-05,1.28e-08,NA,"Alcohol","GW"
"206","cg19554457",-0.000234466,4.12e-05,1.28e-08,NA,"Alcohol","GW"
"207","cg00085438",-0.00021381,3.76e-05,1.28e-08,NA,"Alcohol","GW"
"208","cg22510139",-0.000239165,4.2e-05,1.29e-08,NA,"Alcohol","GW"
"209","cg07451297",-0.00015954,2.81e-05,1.33e-08,NA,"Alcohol","GW"
"210","cg07735969",-0.000109615,1.93e-05,1.36e-08,NA,"Alcohol","GW"
"211","cg26039141",-0.000127455,2.25e-05,1.38e-08,NA,"Alcohol","GW"
"212","cg21130958",-0.000182331,3.21e-05,1.38e-08,NA,"Alcohol","GW"
"213","cg07567724",-0.000346834,6.12e-05,1.43e-08,NA,"Alcohol","GW"
"214","cg17485681",-0.000230398,4.07e-05,1.51e-08,NA,"Alcohol","GW"
"215","cg20484086",-0.000260199,4.6e-05,1.52e-08,NA,"Alcohol","GW"
"216","cg11617964",-0.000305609,5.4e-05,1.54e-08,NA,"Alcohol","GW"
"217","cg04737759",0.000101883,1.8e-05,1.59e-08,NA,"Alcohol","GW"
"218","cg10089657",0.000122239,2.17e-05,1.66e-08,NA,"Alcohol","GW"
"219","cg23629150",-0.000240933,4.27e-05,1.67e-08,NA,"Alcohol","GW"
"220","cg03021802",-0.000183841,3.26e-05,1.7e-08,NA,"Alcohol","GW"
"221","cg24135793",-0.000293472,5.21e-05,1.74e-08,NA,"Alcohol","GW"
"222","cg00326958",-0.000185588,3.29e-05,1.76e-08,NA,"Alcohol","GW"
"223","cg06934523",-0.00020561,3.65e-05,1.76e-08,NA,"Alcohol","GW"
"224","cg12554573",-0.000141513,2.51e-05,1.79e-08,NA,"Alcohol","GW"
"225","cg06657944",-7.46e-05,1.33e-05,1.81e-08,NA,"Alcohol","GW"
"226","cg14035045",-0.000169382,3.01e-05,1.85e-08,NA,"Alcohol","GW"
"227","cg09613192",-0.000278778,4.96e-05,1.87e-08,NA,"Alcohol","GW"
"228","cg03603530",-0.000108706,1.93e-05,1.92e-08,NA,"Alcohol","GW"
"229","cg05603985",-0.000253797,4.52e-05,1.94e-08,NA,"Alcohol","GW"
"230","cg00549412",-0.000191036,3.4e-05,2e-08,NA,"Alcohol","GW"
"231","cg05915866",-0.000261383,4.66e-05,2e-08,NA,"Alcohol","GW"
"232","cg12752647",-0.000129638,2.31e-05,2.01e-08,NA,"Alcohol","GW"
"233","cg08766770",-0.000130424,2.32e-05,2.02e-08,NA,"Alcohol","GW"
"234","cg00657780",-0.000179482,3.2e-05,2.03e-08,NA,"Alcohol","GW"
"235","cg07556911",0.000123825,2.21e-05,2.1e-08,NA,"Alcohol","GW"
"236","cg27180443",-0.000226013,4.04e-05,2.2e-08,NA,"Alcohol","GW"
"237","cg04418434",-0.000133156,2.38e-05,2.25e-08,NA,"Alcohol","GW"
"238","cg23893460",0.000104928,1.88e-05,2.28e-08,NA,"Alcohol","GW"
"239","cg01850135",0.000191881,3.43e-05,2.31e-08,NA,"Alcohol","GW"
"240","cg22268510",-0.000285806,5.12e-05,2.34e-08,NA,"Alcohol","GW"
"241","cg05152300",-0.000135229,2.42e-05,2.34e-08,NA,"Alcohol","GW"
"242","cg07286682",0.000197101,3.53e-05,2.39e-08,NA,"Alcohol","GW"
"243","cg05262369",-0.000159431,2.86e-05,2.41e-08,NA,"Alcohol","GW"
"244","cg18483487",-0.00020568,3.69e-05,2.42e-08,NA,"Alcohol","GW"
"245","cg05527044",-0.000115123,2.07e-05,2.5e-08,NA,"Alcohol","GW"
"246","cg15117681",0.00013987,2.51e-05,2.59e-08,NA,"Alcohol","GW"
"247","cg16290996",-0.000319806,5.75e-05,2.61e-08,NA,"Alcohol","GW"
"248","cg03339609",-0.000301051,5.41e-05,2.66e-08,NA,"Alcohol","GW"
"249","cg03617456",-9.87e-05,1.77e-05,2.68e-08,NA,"Alcohol","GW"
"250","cg05668853",-0.000200714,3.61e-05,2.68e-08,NA,"Alcohol","GW"
"251","cg10456541",-0.000190486,3.43e-05,2.69e-08,NA,"Alcohol","GW"
"252","cg07805604",-0.000144105,2.59e-05,2.72e-08,NA,"Alcohol","GW"
"253","cg21846790",-0.00013504,2.43e-05,2.78e-08,NA,"Alcohol","GW"
"254","cg09906145",-9.78e-05,1.76e-05,2.81e-08,NA,"Alcohol","GW"
"255","cg09577455",-0.000155485,2.8e-05,2.97e-08,NA,"Alcohol","GW"
"256","cg17378803",-0.00024546,4.43e-05,2.98e-08,NA,"Alcohol","GW"
"257","cg02314339",-0.000254186,4.59e-05,3.06e-08,NA,"Alcohol","GW"
"258","cg02282631",-0.000324862,5.87e-05,3.07e-08,NA,"Alcohol","GW"
"259","cg01378158",-0.000167519,3.03e-05,3.11e-08,NA,"Alcohol","GW"
"260","cg22052056",-0.000179502,3.25e-05,3.37e-08,NA,"Alcohol","GW"
"261","cg25197194",0.000299216,5.42e-05,3.38e-08,NA,"Alcohol","GW"
"262","cg00026553",-0.000154797,2.81e-05,3.43e-08,NA,"Alcohol","GW"
"263","cg06226150",-0.000141288,2.57e-05,3.79e-08,NA,"Alcohol","GW"
"264","cg19731612",-0.00062134,0.000112976,3.8e-08,NA,"Alcohol","GW"
"265","cg13077865",0.000173048,3.15e-05,3.87e-08,NA,"Alcohol","GW"
"266","cg03959515",-0.000106696,1.94e-05,3.9e-08,NA,"Alcohol","GW"
"267","cg03382805",0.000120359,2.19e-05,3.93e-08,NA,"Alcohol","GW"
"268","cg05991220",0.000217716,3.96e-05,3.98e-08,NA,"Alcohol","GW"
"269","cg05756780",-0.00014366,2.62e-05,3.98e-08,NA,"Alcohol","GW"
"270","cg10045354",-0.000219318,4e-05,4.27e-08,NA,"Alcohol","GW"
"271","cg05951221",-0.000605113,0.000110538,4.39e-08,NA,"Alcohol","GW"
"272","cg27491190",-0.000231754,4.23e-05,4.4e-08,NA,"Alcohol","GW"
"273","cg19202384",-0.000261545,4.78e-05,4.55e-08,NA,"Alcohol","GW"
"274","cg20188739",-0.000212576,3.89e-05,4.66e-08,NA,"Alcohol","GW"
"275","cg11405200",-0.000161143,2.95e-05,4.66e-08,NA,"Alcohol","GW"
"276","cg08297686",-0.000334244,6.12e-05,4.68e-08,NA,"Alcohol","GW"
"277","cg09175009",-0.000197238,3.62e-05,4.87e-08,NA,"Alcohol","GW"
"278","cg12699156",-0.000135542,2.48e-05,4.88e-08,NA,"Alcohol","GW"
"279","cg13539253",-7.35e-05,1.35e-05,5.08e-08,NA,"Alcohol","GW"
"280","cg08293528",-0.000143323,2.63e-05,5.17e-08,NA,"Alcohol","GW"
"281","cg04605617",-0.000259599,4.77e-05,5.19e-08,NA,"Alcohol","GW"
"282","cg11700584",-0.000273901,5.03e-05,5.3e-08,NA,"Alcohol","GW"
"283","cg09029902",-9.48e-05,1.74e-05,5.31e-08,NA,"Alcohol","GW"
"284","cg04661001",-0.000298416,5.49e-05,5.36e-08,NA,"Alcohol","GW"
"285","cg24711224",-0.000164883,3.03e-05,5.44e-08,NA,"Alcohol","GW"
"286","cg05129477",-0.00023488,4.32e-05,5.6e-08,NA,"Alcohol","GW"
"287","cg01487468",-0.000145833,2.69e-05,5.69e-08,NA,"Alcohol","GW"
"288","cg05359207",-5.5e-05,1.01e-05,5.69e-08,NA,"Alcohol","GW"
"289","cg16505233",-9.5e-05,1.75e-05,5.69e-08,NA,"Alcohol","GW"
"290","cg02343604",-0.000152012,2.8e-05,5.75e-08,NA,"Alcohol","GW"
"291","cg26405097",-0.000156887,2.89e-05,5.94e-08,NA,"Alcohol","GW"
"292","cg24570624",-0.000178699,3.3e-05,5.97e-08,NA,"Alcohol","GW"
"293","cg09646173",-0.000287911,5.32e-05,6.18e-08,NA,"Alcohol","GW"
"294","cg27020362",0.000194607,3.6e-05,6.26e-08,NA,"Alcohol","GW"
"295","cg06474661",-0.000128622,2.38e-05,6.38e-08,NA,"Alcohol","GW"
"296","cg24141382",-0.000150319,2.78e-05,6.43e-08,NA,"Alcohol","GW"
"297","cg02499214",-6.44e-05,1.19e-05,6.49e-08,NA,"Alcohol","GW"
"298","cg05751148",0.000134007,2.48e-05,6.5e-08,NA,"Alcohol","GW"
"299","cg08276755",-0.000159783,2.96e-05,6.54e-08,NA,"Alcohol","GW"
"300","cg11704631",-0.000321075,5.95e-05,6.7e-08,NA,"Alcohol","GW"
"301","cg06126421",-0.000286062,5.31e-05,6.99e-08,NA,"Alcohol","GW"
"302","cg07507418",-0.000193753,3.6e-05,7.15e-08,NA,"Alcohol","GW"
"303","cg16492851",0.000120033,2.23e-05,7.16e-08,NA,"Alcohol","GW"
"304","cg21201109",-0.000163329,3.03e-05,7.18e-08,NA,"Alcohol","GW"
"305","cg03877174",0.000131267,2.44e-05,7.3e-08,NA,"Alcohol","GW"
"306","cg00546117",-0.000207682,3.86e-05,7.33e-08,NA,"Alcohol","GW"
"307","cg21226442",-0.00023626,4.39e-05,7.37e-08,NA,"Alcohol","GW"
"308","cg20204986",-0.000178141,3.31e-05,7.5e-08,NA,"Alcohol","GW"
"309","cg03575969",-0.00016961,3.16e-05,7.87e-08,NA,"Alcohol","GW"
"310","cg23579062",-0.000141735,2.64e-05,7.97e-08,NA,"Alcohol","GW"
"311","cg19730982",9.62e-05,1.79e-05,8e-08,NA,"Alcohol","GW"
"312","cg07447742",-0.000216734,4.04e-05,8.12e-08,NA,"Alcohol","GW"
"313","cg17962756",-0.000403039,7.51e-05,8.18e-08,NA,"Alcohol","GW"
"314","cg24146100",-0.000229638,4.28e-05,8.25e-08,NA,"Alcohol","GW"
"315","cg01735398",-0.000227915,4.25e-05,8.36e-08,NA,"Alcohol","GW"
"316","cg07626482",-0.000335371,6.26e-05,8.39e-08,NA,"Alcohol","GW"
"317","cg02431260",-0.000438112,8.18e-05,8.42e-08,NA,"Alcohol","GW"
"318","cg01972009",-0.000190542,3.56e-05,8.47e-08,NA,"Alcohol","GW"
