"CpG","Beta","SE","P","FDR","Trait","threshold"
"cg01881899",0.000332954,5.57e-05,2.2e-09,9.52e-09,"BMI","F001"
"cg01885635",-0.000480636,8.73e-05,3.66e-08,1.12e-07,"BMI","F001"
"cg01890836",-0.000376052,7.5e-05,5.34e-07,1.17e-06,"BMI","F001"
"cg01930746",-0.000315949,8.05e-05,8.62e-05,0.000114219,"BMI","F001"
"cg01975495",0.000598838,0.000104569,1.02e-08,3.57e-08,"BMI","F001"
"cg02050917",0.000513223,8.23e-05,4.44e-10,2.45e-09,"BMI","F001"
"cg02079413",0.000477678,7.91e-05,1.58e-09,7.15e-09,"BMI","F001"
"cg02181920",-0.000401417,9.87e-05,4.73e-05,6.59e-05,"BMI","F001"
"cg02203067",0.000498676,8.63e-05,7.56e-09,2.71e-08,"BMI","F001"
"cg02211741",0.000190396,5.67e-05,0.000786277,0.000913802,"BMI","F001"
"cg02268192",0.000332258,8.83e-05,0.00016932,0.000214906,"BMI","F001"
"cg02278841",-0.000266151,7.15e-05,0.000197962,0.000248742,"BMI","F001"
"cg02323699",-0.000362549,8.93e-05,4.89e-05,6.78e-05,"BMI","F001"
"cg02329670",-0.000532046,8.04e-05,3.7e-11,2.86e-10,"BMI","F001"
"cg02341197",0.000620985,0.000102337,1.29e-09,6.11e-09,"BMI","F001"
"cg02360514",0.000435306,0.00010081,1.57e-05,2.46e-05,"BMI","F001"
"cg02370100",0.00049264,7.96e-05,6.05e-10,3.22e-09,"BMI","F001"
"cg02371935",0.000355386,8.92e-05,6.79e-05,9.16e-05,"BMI","F001"
"cg02417857",0.00090813,0.00015185,2.23e-09,9.56e-09,"BMI","F001"
"cg02508743",0.000660446,0.000113191,5.39e-09,2.07e-08,"BMI","F001"
"cg02544002",0.000389723,0.000111298,0.000462423,0.000550446,"BMI","F001"
"cg02556345",-0.000532308,9.72e-05,4.32e-08,1.29e-07,"BMI","F001"
"cg02569509",-0.00062311,0.000117888,1.25e-07,3.31e-07,"BMI","F001"
"cg02571142",0.000683596,0.000137481,6.62e-07,1.41e-06,"BMI","F001"
"cg02650017",-0.000284266,3.19e-05,5.24e-19,2.86e-17,"BMI","F001"
"cg02669349",0.000155339,3.73e-05,3.05e-05,4.46e-05,"BMI","F001"
"cg02716826",-0.000665066,0.000116841,1.26e-08,4.23e-08,"BMI","F001"
"cg02734358",-0.000753165,0.000120141,3.63e-10,2.06e-09,"BMI","F001"
"cg02740606",-0.000245649,6.89e-05,0.000366825,0.000441881,"BMI","F001"
"cg02893429",-0.000716893,0.000113035,2.26e-10,1.35e-09,"BMI","F001"
"cg02913194",-0.000255445,8.86e-05,0.003946627,0.004278779,"BMI","F001"
"cg02946885",-0.000640579,0.000123408,2.09e-07,5.18e-07,"BMI","F001"
"cg03014634",0.000340724,7.95e-05,1.81e-05,2.78e-05,"BMI","F001"
"cg03040848",-0.000173941,5.65e-05,0.002094159,0.002338446,"BMI","F001"
"cg03050965",-0.000383181,7.48e-05,3.05e-07,7.21e-07,"BMI","F001"
"cg03068497",-0.001001247,0.00021442,3.02e-06,5.45e-06,"BMI","F001"
"cg03078551",-0.000416231,5.47e-05,2.77e-14,5.27e-13,"BMI","F001"
"cg03152187",-0.000328116,5.59e-05,4.26e-09,1.69e-08,"BMI","F001"
"cg03159676",0.000456871,0.000150023,0.002324232,0.002590744,"BMI","F001"
"cg03173502",-0.000505172,9.97e-05,4.06e-07,9.2e-07,"BMI","F001"
"cg03183540",-0.000449178,7.68e-05,5.02e-09,1.95e-08,"BMI","F001"
"cg03218374",0.000727617,0.000102635,1.35e-12,1.66e-11,"BMI","F001"
"cg03257930",-0.000399541,6.61e-05,1.53e-09,6.97e-09,"BMI","F001"
"cg03260624",0.00038546,0.000100895,0.000133227,0.000171175,"BMI","F001"
"cg03272310",-0.000656415,0.000149949,1.2e-05,1.93e-05,"BMI","F001"
"cg03273183",-0.000469431,8.66e-05,5.84e-08,1.71e-07,"BMI","F001"
"cg03297731",-0.000454611,8.65e-05,1.49e-07,3.88e-07,"BMI","F001"
"cg03318904",0.000607905,7.15e-05,1.95e-17,7.89e-16,"BMI","F001"
"cg03327570",-0.000464215,7.75e-05,2.05e-09,8.93e-09,"BMI","F001"
"cg03337218",0.000449069,0.000123503,0.000276817,0.000339324,"BMI","F001"
"cg03345232",0.000595229,0.000143375,3.3e-05,4.77e-05,"BMI","F001"
"cg03358113",-0.000214379,4.53e-05,2.26e-06,4.23e-06,"BMI","F001"
"cg03358636",0.001072885,0.000112489,1.46e-21,1.31e-19,"BMI","F001"
"cg03359362",-0.000101797,3.21e-05,0.001539731,0.001736352,"BMI","F001"
"cg03411376",0.000305434,5.73e-05,9.6e-08,2.59e-07,"BMI","F001"
"cg03421440",-0.000406284,9.9e-05,4.08e-05,5.82e-05,"BMI","F001"
"cg03433986",-0.00046768,9.77e-05,1.7e-06,3.31e-06,"BMI","F001"
"cg03500056",0.000602015,0.000105154,1.03e-08,3.58e-08,"BMI","F001"
"cg03507641",-0.000175878,4.29e-05,4.19e-05,5.94e-05,"BMI","F001"
"cg03508235",-0.000377507,7.68e-05,8.87e-07,1.84e-06,"BMI","F001"
"cg03523676",0.00061787,9.44e-05,5.84e-11,4.31e-10,"BMI","F001"
"cg03543314",0.000241431,6.64e-05,0.000276593,0.000339324,"BMI","F001"
"cg03546163",0.000468022,0.00017779,0.008477482,0.008971107,"BMI","F001"
"cg03581459",0.000255655,6.39e-05,6.3e-05,8.6e-05,"BMI","F001"
"cg03593358",-0.000331214,7.73e-05,1.81e-05,2.79e-05,"BMI","F001"
"cg03607951",0.000882409,0.000186803,2.32e-06,4.33e-06,"BMI","F001"
"cg03619256",-0.000662223,9.12e-05,3.76e-13,5.24e-12,"BMI","F001"
"cg03636183",0.000734355,0.000161535,5.46e-06,9.43e-06,"BMI","F001"
"cg03669394",-0.000708863,0.000136972,2.28e-07,5.55e-07,"BMI","F001"
"cg03697881",0.000426335,6.78e-05,3.25e-10,1.89e-09,"BMI","F001"
"cg03725309",-0.000596898,7.81e-05,2.12e-14,4.15e-13,"BMI","F001"
"cg03741348",0.000258348,9.22e-05,0.005074477,0.00545278,"BMI","F001"
"cg03744043",0.000438922,7.49e-05,4.62e-09,1.82e-08,"BMI","F001"
"cg03747456",-0.000416663,8.04e-05,2.18e-07,5.35e-07,"BMI","F001"
"cg03803086",0.000609463,0.000110005,3.02e-08,9.37e-08,"BMI","F001"
"cg03819286",0.000499677,8e-05,4.24e-10,2.35e-09,"BMI","F001"
"cg03850986",-0.000973782,0.000138194,1.83e-12,2.13e-11,"BMI","F001"
"cg03853208",0.000388283,8.5e-05,4.87e-06,8.52e-06,"BMI","F001"
"cg03885055",-0.000362219,7.4e-05,9.95e-07,2.05e-06,"BMI","F001"
"cg03922337",0.000299824,7.63e-05,8.54e-05,0.000113359,"BMI","F001"
"cg03940776",-0.000614586,7.18e-05,1.13e-17,4.72e-16,"BMI","F001"
"cg03957124",-0.000621271,8.44e-05,1.81e-13,2.71e-12,"BMI","F001"
"cg03978682",0.000350715,9.08e-05,0.000111408,0.000144923,"BMI","F001"
"cg04011474",-0.000670938,9.01e-05,9.82e-14,1.6e-12,"BMI","F001"
"cg04030401",0.000238089,6.23e-05,0.000131198,0.000168914,"BMI","F001"
"cg04113258",-0.000320917,7.38e-05,1.36e-05,2.16e-05,"BMI","F001"
"cg04161365",-0.000450892,8.76e-05,2.61e-07,6.27e-07,"BMI","F001"
"cg04162032",0.000536767,0.000122374,1.15e-05,1.86e-05,"BMI","F001"
"cg04189187",-0.000462761,8.85e-05,1.69e-07,4.29e-07,"BMI","F001"
"cg04236263",0.000316564,9.92e-05,0.001416441,0.001603084,"BMI","F001"
"cg04286697",0.000373921,8.99e-05,3.21e-05,4.65e-05,"BMI","F001"
"cg04304450",0.000434375,0.000104674,3.33e-05,4.8e-05,"BMI","F001"
"cg04342594",0.000349852,9.9e-05,0.000411809,0.000492756,"BMI","F001"
"cg04366104",0.000457722,8.24e-05,2.74e-08,8.54e-08,"BMI","F001"
"cg04424621",-0.000392168,7.5e-05,1.7e-07,4.31e-07,"BMI","F001"
"cg04464719",0.000251613,6.83e-05,0.000230386,0.000285761,"BMI","F001"
"cg04508739",0.000675424,0.000100553,1.85e-11,1.54e-10,"BMI","F001"
"cg04528038",0.000294591,6.05e-05,1.14e-06,2.32e-06,"BMI","F001"
"cg04567445",0.000256957,8.6e-05,0.002820734,0.003119224,"BMI","F001"
"cg04569152",-0.000500862,0.000114372,1.19e-05,1.92e-05,"BMI","F001"
"cg04577162",0.000508507,8.34e-05,1.09e-09,5.24e-09,"BMI","F001"
"cg04583842",0.000536285,0.000120348,8.35e-06,1.38e-05,"BMI","F001"
"cg04682775",0.000378299,9.98e-05,0.000149838,0.000191341,"BMI","F001"
"cg04708601",-0.000354421,0.00011672,0.002393395,0.002663103,"BMI","F001"
"cg04716530",-0.000312233,6.86e-05,5.29e-06,9.16e-06,"BMI","F001"
"cg04742397",-0.000418515,8.69e-05,1.45e-06,2.86e-06,"BMI","F001"
"cg04750536",0.000349521,9.55e-05,0.00025152,0.000310133,"BMI","F001"
"cg04757345",-0.000679401,0.000113603,2.22e-09,9.56e-09,"BMI","F001"
"cg04790874",0.000285834,6.58e-05,1.42e-05,2.24e-05,"BMI","F001"
"cg04813880",0.000536205,9.04e-05,2.97e-09,1.23e-08,"BMI","F001"
"cg04816311",0.00114308,0.000125375,7.7e-20,5.37e-18,"BMI","F001"
"cg04880253",-0.000232559,8.11e-05,0.004140478,0.004476,"BMI","F001"
"cg04927537",0.001231784,0.000158983,9.34e-15,2.06e-13,"BMI","F001"
"cg04931184",-0.000449695,8.18e-05,3.84e-08,1.17e-07,"BMI","F001"
"cg04945608",-0.000465897,8.45e-05,3.45e-08,1.06e-07,"BMI","F001"
"cg04973995",-0.000450599,0.000107345,2.7e-05,4e-05,"BMI","F001"
"cg04986899",0.000438555,7.84e-05,2.27e-08,7.2e-08,"BMI","F001"
"cg04999824",-0.000303209,6.48e-05,2.92e-06,5.28e-06,"BMI","F001"
"cg05050042",0.000574536,9.95e-05,7.83e-09,2.79e-08,"BMI","F001"
"cg05063895",-0.000238177,4.23e-05,1.74e-08,5.63e-08,"BMI","F001"
"cg05119988",-0.0004782,0.000123007,0.000101251,0.000132397,"BMI","F001"
"cg05155595",0.000317371,8.98e-05,0.000407252,0.000487769,"BMI","F001"
"cg05219445",-0.000382424,9.78e-05,9.27e-05,0.000122379,"BMI","F001"
"cg05233324",-0.000603669,0.000148594,4.85e-05,6.73e-05,"BMI","F001"
"cg05241536",0.000299711,7.07e-05,2.22e-05,3.34e-05,"BMI","F001"
"cg05242915",0.000651004,0.000133848,1.15e-06,2.33e-06,"BMI","F001"
"cg05248321",0.000486123,0.000100268,1.25e-06,2.5e-06,"BMI","F001"
"cg05272827",0.000740931,0.000118869,4.57e-10,2.51e-09,"BMI","F001"
"cg05277504",-0.000210832,3.95e-05,9.47e-08,2.57e-07,"BMI","F001"
"cg05284742",0.000365409,6.81e-05,7.96e-08,2.24e-07,"BMI","F001"
"cg05295703",0.000462093,7.15e-05,1.02e-10,6.94e-10,"BMI","F001"
"cg05323251",0.000298441,6.29e-05,2.05e-06,3.9e-06,"BMI","F001"
"cg05369623",0.00045176,7.79e-05,6.61e-09,2.45e-08,"BMI","F001"
"cg05399785",0.000621433,8.02e-05,9.51e-15,2.06e-13,"BMI","F001"
"cg05413285",0.000343568,8.71e-05,7.94e-05,0.000105543,"BMI","F001"
"cg05438378",-0.000445002,0.000126215,0.000422304,0.000503872,"BMI","F001"
"cg05441854",0.000427242,8.78e-05,1.15e-06,2.33e-06,"BMI","F001"
"cg05460226",0.000861102,0.00013529,1.95e-10,1.21e-09,"BMI","F001"
"cg05465955",0.000412658,0.000100135,3.77e-05,5.4e-05,"BMI","F001"
"cg05509696",0.000213383,6.04e-05,0.000412456,0.00049306,"BMI","F001"
"cg05573654",0.000576927,8.05e-05,7.49e-13,1e-11,"BMI","F001"
"cg05575921",0.001161039,0.000172468,1.67e-11,1.43e-10,"BMI","F001"
"cg05603985",-0.000279538,7.53e-05,0.00020493,0.000256213,"BMI","F001"
"cg05616969",0.000318008,7.8e-05,4.53e-05,6.35e-05,"BMI","F001"
"cg05628049",0.000312191,7.27e-05,1.75e-05,2.7e-05,"BMI","F001"
"cg05673882",-0.00036078,0.000138006,0.008942918,0.009447699,"BMI","F001"
"cg05720226",0.000376075,8.17e-05,4.2e-06,7.43e-06,"BMI","F001"
"cg05778424",0.000476667,8.15e-05,4.95e-09,1.93e-08,"BMI","F001"
"cg05820396",-0.0004523,9.04e-05,5.64e-07,1.23e-06,"BMI","F001"
"cg05899984",0.000365814,6.06e-05,1.53e-09,6.97e-09,"BMI","F001"
"cg05922563",0.000286504,9.5e-05,0.002552512,0.00283261,"BMI","F001"
"cg05945608",0.000382537,8.55e-05,7.75e-06,1.29e-05,"BMI","F001"
"cg05952498",-0.000457543,9.25e-05,7.59e-07,1.59e-06,"BMI","F001"
"cg05978306",0.000379698,7.06e-05,7.43e-08,2.1e-07,"BMI","F001"
"cg06003184",0.000689144,0.000174619,7.93e-05,0.000105543,"BMI","F001"
"cg06012428",-0.000346055,7.38e-05,2.73e-06,4.98e-06,"BMI","F001"
"cg06017212",0.000506169,7.75e-05,6.58e-11,4.69e-10,"BMI","F001"
"cg06038367",0.000380198,9.11e-05,2.97e-05,4.36e-05,"BMI","F001"
"cg06039074",0.00034264,6.43e-05,9.96e-08,2.67e-07,"BMI","F001"
"cg06092310",0.000273176,8.05e-05,0.000684813,0.000799586,"BMI","F001"
"cg06096336",0.000797056,0.000154759,2.6e-07,6.26e-07,"BMI","F001"
"cg06151145",0.000567201,9.93e-05,1.1e-08,3.79e-08,"BMI","F001"
"cg06188083",0.000696113,0.000157074,9.35e-06,1.53e-05,"BMI","F001"
"cg06189394",-0.000543725,0.000106044,2.94e-07,6.97e-07,"BMI","F001"
"cg06192883",0.001130768,0.000113439,2.1e-23,2.81e-21,"BMI","F001"
"cg06207201",-0.000512345,7.77e-05,4.29e-11,3.27e-10,"BMI","F001"
"cg06235438",-0.000294621,7.71e-05,0.000132202,0.000170032,"BMI","F001"
"cg06285727",-0.000186677,6.6e-05,0.004700036,0.005067795,"BMI","F001"
"cg06375292",-0.000412036,5.76e-05,8.54e-13,1.13e-11,"BMI","F001"
"cg06397161",0.00065455,0.00016975,0.000115278,0.000149491,"BMI","F001"
"cg06421614",0.000243439,5.96e-05,4.45e-05,6.26e-05,"BMI","F001"
"cg06469895",0.00022177,8.08e-05,0.006047948,0.006465581,"BMI","F001"
"cg06470727",-0.000326447,0.000103926,0.001682918,0.001891021,"BMI","F001"
"cg06500161",0.001136108,9.27e-05,1.61e-34,6.73e-32,"BMI","F001"
"cg06559575",-0.000702687,8.01e-05,1.83e-18,8.81e-17,"BMI","F001"
"cg06560379",-0.000175729,3.03e-05,6.41e-09,2.4e-08,"BMI","F001"
"cg06567920",-0.000417003,9.81e-05,2.15e-05,3.25e-05,"BMI","F001"
"cg06568880",0.000434752,5.37e-05,5.5e-16,1.72e-14,"BMI","F001"
"cg06603309",-0.000285605,6.3e-05,5.9e-06,1.01e-05,"BMI","F001"
"cg06619077",-0.000585224,0.000122431,1.75e-06,3.38e-06,"BMI","F001"
"cg06623197",0.00023898,8.57e-05,0.005309345,0.005695397,"BMI","F001"
"cg06629453",0.000225748,7.66e-05,0.003189405,0.003499138,"BMI","F001"
"cg06647068",-0.000700069,0.000109101,1.39e-10,9.19e-10,"BMI","F001"
"cg06690548",-0.000701048,0.000107114,5.95e-11,4.34e-10,"BMI","F001"
"cg06710464",0.000540428,7.94e-05,9.83e-12,8.99e-11,"BMI","F001"
"cg06745030",0.000405211,9.92e-05,4.43e-05,6.24e-05,"BMI","F001"
"cg06762457",-0.000871515,0.000161929,7.36e-08,2.09e-07,"BMI","F001"
"cg06783533",0.000260018,4.61e-05,1.72e-08,5.58e-08,"BMI","F001"
"cg06803853",0.000143221,3.29e-05,1.32e-05,2.11e-05,"BMI","F001"
"cg06872964",0.000889172,0.000175568,4.09e-07,9.27e-07,"BMI","F001"
"cg06897661",0.000338206,9.38e-05,0.000311006,0.00037901,"BMI","F001"
"cg06940720",0.000507737,9.02e-05,1.81e-08,5.82e-08,"BMI","F001"
"cg06946797",-0.00081351,0.000116184,2.53e-12,2.78e-11,"BMI","F001"
"cg06965409",-0.000198517,4.88e-05,4.83e-05,6.71e-05,"BMI","F001"
"cg07008193",0.000307824,9.7e-05,0.001499661,0.001692687,"BMI","F001"
"cg07012687",0.000874927,0.000109762,1.57e-15,4.29e-14,"BMI","F001"
"cg07021906",0.000575082,9.96e-05,7.79e-09,2.78e-08,"BMI","F001"
"cg07031070",0.000350745,8.13e-05,1.59e-05,2.48e-05,"BMI","F001"
"cg07052041",-0.000293146,6.14e-05,1.82e-06,3.51e-06,"BMI","F001"
"cg07058694",0.000495232,7.72e-05,1.43e-10,9.33e-10,"BMI","F001"
"cg07092212",-0.000234426,5.83e-05,5.81e-05,7.98e-05,"BMI","F001"
"cg07094298",-0.001045261,0.000134061,6.35e-15,1.45e-13,"BMI","F001"
"cg07136133",-0.000717829,8.86e-05,5.32e-16,1.71e-14,"BMI","F001"
"cg07184013",0.000247071,6.23e-05,7.3e-05,9.77e-05,"BMI","F001"
"cg07207669",-0.000615917,0.000110384,2.41e-08,7.57e-08,"BMI","F001"
"cg07217499",-0.000467176,8.44e-05,3.07e-08,9.47e-08,"BMI","F001"
"cg07248377",0.000609389,0.000105073,6.65e-09,2.46e-08,"BMI","F001"
"cg07265588",0.000515161,9.05e-05,1.25e-08,4.23e-08,"BMI","F001"
"cg07397296",0.000483473,1e-04,1.32e-06,2.63e-06,"BMI","F001"
"cg07417146",0.000463183,9.75e-05,2.04e-06,3.89e-06,"BMI","F001"
"cg07458272",0.00056929,8.32e-05,7.72e-12,7.34e-11,"BMI","F001"
"cg07504977",0.001034637,0.000145587,1.19e-12,1.51e-11,"BMI","F001"
"cg07558761",0.000422999,8.97e-05,2.41e-06,4.47e-06,"BMI","F001"
"cg07609780",0.000295626,6.95e-05,2.09e-05,3.18e-05,"BMI","F001"
"cg07682160",0.000534364,9.03e-05,3.24e-09,1.32e-08,"BMI","F001"
"cg07719604",0.000439647,0.000112666,9.53e-05,0.000125298,"BMI","F001"
"cg07728579",0.000543278,9.15e-05,2.92e-09,1.22e-08,"BMI","F001"
"cg07730360",0.000345625,8.84e-05,9.21e-05,0.000121699,"BMI","F001"
"cg07769588",0.000522511,0.000112875,3.67e-06,6.54e-06,"BMI","F001"
"cg07805604",0.000326675,6.49e-05,4.87e-07,1.09e-06,"BMI","F001"
"cg07814318",0.000783828,0.000116443,1.68e-11,1.43e-10,"BMI","F001"
"cg07912766",0.000459654,0.000105072,1.22e-05,1.95e-05,"BMI","F001"
"cg08051604",0.000453834,7.97e-05,1.22e-08,4.13e-08,"BMI","F001"
"cg08055663",0.000418573,7.04e-05,2.73e-09,1.15e-08,"BMI","F001"
"cg08109625",0.000213246,7.55e-05,0.004732394,0.005098301,"BMI","F001"
"cg08129017",0.000476691,0.000114439,3.11e-05,4.54e-05,"BMI","F001"
"cg08239103",-0.000269354,8.53e-05,0.00159766,0.00179683,"BMI","F001"
"cg08255481",0.000275685,8.08e-05,0.000645548,0.000756558,"BMI","F001"
"cg08274633",-0.000285363,9.59e-05,0.002934344,0.003233451,"BMI","F001"
"cg08297985",0.000338143,7.87e-05,1.75e-05,2.7e-05,"BMI","F001"
"cg08305942",-0.000773213,0.000101682,2.87e-14,5.37e-13,"BMI","F001"
"cg08309687",-0.001184012,0.000148612,1.62e-15,4.33e-14,"BMI","F001"
"cg08316365",0.000413694,8.3e-05,6.15e-07,1.33e-06,"BMI","F001"
"cg08342194",0.000420164,0.000102666,4.27e-05,6.03e-05,"BMI","F001"
