"SC","variable","Pesticide"
"Connecticut-New London",1995,"2,4-D"
"Connecticut-New London",1996,"2,4-D"
"Connecticut-New London",1997,"2,4-D"
"Connecticut-New London",1998,"2,4-D"
"Connecticut-New London",1999,"2,4-D"
"Connecticut-New London",2000,"2,4-D"
"Connecticut-New London",2001,"2,4-D"
"Connecticut-New London",2002,"2,4-D"
"Connecticut-New London",2003,"2,4-D"
"Connecticut-New London",2004,"2,4-D"
"Connecticut-New London",2005,"2,4-D"
"Connecticut-New London",2006,"2,4-D"
"Connecticut-New London",2007,"2,4-D"
"Connecticut-New London",2008,"2,4-D"
"Connecticut-New London",2009,"2,4-D"
"Connecticut-New London",2010,"2,4-D"
"Connecticut-New London",2011,"2,4-D"
"Connecticut-New London",2012,"2,4-D"
"Connecticut-Tolland",1992,"2,4-D"
"Connecticut-Tolland",1993,"2,4-D"
"Connecticut-Tolland",1994,"2,4-D"
"Connecticut-Tolland",1995,"2,4-D"
"Connecticut-Tolland",1996,"2,4-D"
"Connecticut-Tolland",1997,"2,4-D"
"Connecticut-Tolland",1998,"2,4-D"
"Connecticut-Tolland",1999,"2,4-D"
"Connecticut-Tolland",2000,"2,4-D"
"Connecticut-Tolland",2001,"2,4-D"
"Connecticut-Tolland",2002,"2,4-D"
"Connecticut-Tolland",2003,"2,4-D"
"Connecticut-Tolland",2004,"2,4-D"
"Connecticut-Tolland",2005,"2,4-D"
"Connecticut-Tolland",2006,"2,4-D"
"Connecticut-Tolland",2007,"2,4-D"
"Connecticut-Tolland",2008,"2,4-D"
"Connecticut-Tolland",2009,"2,4-D"
"Connecticut-Tolland",2010,"2,4-D"
"Connecticut-Tolland",2011,"2,4-D"
"Connecticut-Tolland",2012,"2,4-D"
"Connecticut-Windham",1992,"2,4-D"
"Connecticut-Windham",1993,"2,4-D"
"Connecticut-Windham",1994,"2,4-D"
"Connecticut-Windham",1995,"2,4-D"
"Connecticut-Windham",1996,"2,4-D"
"Connecticut-Windham",1997,"2,4-D"
"Connecticut-Windham",1998,"2,4-D"
"Connecticut-Windham",1999,"2,4-D"
"Connecticut-Windham",2000,"2,4-D"
"Connecticut-Windham",2001,"2,4-D"
"Connecticut-Windham",2002,"2,4-D"
"Connecticut-Windham",2003,"2,4-D"
"Connecticut-Windham",2004,"2,4-D"
"Connecticut-Windham",2005,"2,4-D"
"Connecticut-Windham",2006,"2,4-D"
"Connecticut-Windham",2007,"2,4-D"
"Connecticut-Windham",2008,"2,4-D"
"Connecticut-Windham",2009,"2,4-D"
"Connecticut-Windham",2010,"2,4-D"
"Connecticut-Windham",2011,"2,4-D"
"Connecticut-Windham",2012,"2,4-D"
"Georgia-Clayton",1992,"2,4-D"
"Georgia-Clayton",1993,"2,4-D"
"Georgia-Clayton",1994,"2,4-D"
"Georgia-Clayton",1995,"2,4-D"
"Georgia-Clayton",1996,"2,4-D"
"Georgia-Clayton",1997,"2,4-D"
"Georgia-Clayton",1998,"2,4-D"
"Georgia-Clayton",1999,"2,4-D"
"Georgia-Clayton",2000,"2,4-D"
"Georgia-Clayton",2001,"2,4-D"
"Georgia-Clayton",2002,"2,4-D"
"Georgia-Clayton",2003,"2,4-D"
"Georgia-Clayton",2004,"2,4-D"
"Georgia-Clayton",2005,"2,4-D"
"Georgia-Clayton",2006,"2,4-D"
"Georgia-Clayton",2007,"2,4-D"
"Georgia-Clayton",2008,"2,4-D"
"Georgia-Clayton",2009,"2,4-D"
"Georgia-Clayton",2010,"2,4-D"
"Georgia-Clayton",2011,"2,4-D"
"Georgia-Clayton",2012,"2,4-D"
"Georgia-DeKalb",1992,"2,4-D"
"Georgia-DeKalb",1993,"2,4-D"
"Georgia-DeKalb",1994,"2,4-D"
"Georgia-DeKalb",1995,"2,4-D"
"Georgia-DeKalb",1996,"2,4-D"
"Georgia-DeKalb",1997,"2,4-D"
"Georgia-DeKalb",1998,"2,4-D"
"Georgia-DeKalb",1999,"2,4-D"
"Georgia-DeKalb",2000,"2,4-D"
"Georgia-DeKalb",2001,"2,4-D"
"Georgia-DeKalb",2002,"2,4-D"
"Georgia-DeKalb",2003,"2,4-D"
"Georgia-DeKalb",2004,"2,4-D"
"Georgia-DeKalb",2005,"2,4-D"
"Georgia-DeKalb",2006,"2,4-D"
"Georgia-DeKalb",2007,"2,4-D"
"Georgia-DeKalb",2008,"2,4-D"
"Georgia-DeKalb",2009,"2,4-D"
"Georgia-DeKalb",2010,"2,4-D"
"Georgia-DeKalb",2011,"2,4-D"
"Georgia-DeKalb",2012,"2,4-D"
"Georgia-Fulton",1992,"2,4-D"
"Georgia-Fulton",1993,"2,4-D"
"Georgia-Fulton",1994,"2,4-D"
"Georgia-Fulton",1995,"2,4-D"
"Georgia-Fulton",1996,"2,4-D"
"Georgia-Fulton",1997,"2,4-D"
"Georgia-Fulton",1998,"2,4-D"
"Georgia-Fulton",1999,"2,4-D"
"Georgia-Fulton",2000,"2,4-D"
"Georgia-Fulton",2001,"2,4-D"
"Georgia-Fulton",2002,"2,4-D"
"Georgia-Fulton",2003,"2,4-D"
"Georgia-Fulton",2004,"2,4-D"
"Georgia-Fulton",2005,"2,4-D"
"Georgia-Fulton",2006,"2,4-D"
"Georgia-Fulton",2007,"2,4-D"
"Georgia-Fulton",2008,"2,4-D"
"Georgia-Fulton",2009,"2,4-D"
"Georgia-Fulton",2010,"2,4-D"
"Georgia-Fulton",2011,"2,4-D"
"Georgia-Fulton",2012,"2,4-D"
"Georgia-Greene",1992,"2,4-D"
"Georgia-Greene",1993,"2,4-D"
"Georgia-Greene",1994,"2,4-D"
"Georgia-Greene",1995,"2,4-D"
"Georgia-Greene",1996,"2,4-D"
"Georgia-Greene",1997,"2,4-D"
"Georgia-Greene",1998,"2,4-D"
"Georgia-Greene",1999,"2,4-D"
"Georgia-Greene",2000,"2,4-D"
"Georgia-Greene",2001,"2,4-D"
"Georgia-Greene",2002,"2,4-D"
"Georgia-Greene",2003,"2,4-D"
"Georgia-Greene",2004,"2,4-D"
"Georgia-Greene",2005,"2,4-D"
"Georgia-Greene",2006,"2,4-D"
"Georgia-Greene",2007,"2,4-D"
"Georgia-Greene",2008,"2,4-D"
"Georgia-Greene",2009,"2,4-D"
"Georgia-Greene",2010,"2,4-D"
"Georgia-Greene",2011,"2,4-D"
"Georgia-Greene",2012,"2,4-D"
"Georgia-Gwinnett",1992,"2,4-D"
"Georgia-Gwinnett",1993,"2,4-D"
"Georgia-Gwinnett",1994,"2,4-D"
"Georgia-Gwinnett",1995,"2,4-D"
"Georgia-Gwinnett",1996,"2,4-D"
"Georgia-Gwinnett",1997,"2,4-D"
"Georgia-Gwinnett",1998,"2,4-D"
"Georgia-Gwinnett",1999,"2,4-D"
"Georgia-Gwinnett",2000,"2,4-D"
"Georgia-Gwinnett",2001,"2,4-D"
"Georgia-Gwinnett",2002,"2,4-D"
"Georgia-Gwinnett",2003,"2,4-D"
"Georgia-Gwinnett",2004,"2,4-D"
"Georgia-Gwinnett",2005,"2,4-D"
"Georgia-Gwinnett",2006,"2,4-D"
"Georgia-Gwinnett",2007,"2,4-D"
"Georgia-Gwinnett",2008,"2,4-D"
"Georgia-Gwinnett",2009,"2,4-D"
"Georgia-Gwinnett",2010,"2,4-D"
"Georgia-Gwinnett",2011,"2,4-D"
"Georgia-Gwinnett",2012,"2,4-D"
"Georgia-Jefferson",1992,"2,4-D"
"Georgia-Jefferson",1993,"2,4-D"
"Georgia-Jefferson",1994,"2,4-D"
"Georgia-Jefferson",1995,"2,4-D"
"Georgia-Jefferson",1996,"2,4-D"
"Georgia-Jefferson",1997,"2,4-D"
"Georgia-Jefferson",1998,"2,4-D"
"Georgia-Jefferson",1999,"2,4-D"
"Georgia-Jefferson",2000,"2,4-D"
"Georgia-Jefferson",2001,"2,4-D"
"Georgia-Jefferson",2002,"2,4-D"
"Georgia-Jefferson",2003,"2,4-D"
"Georgia-Jefferson",2004,"2,4-D"
"Georgia-Jefferson",2005,"2,4-D"
"Georgia-Jefferson",2006,"2,4-D"
"Georgia-Jefferson",2007,"2,4-D"
"Georgia-Jefferson",2008,"2,4-D"
"Georgia-Jefferson",2009,"2,4-D"
"Georgia-Jefferson",2010,"2,4-D"
"Georgia-Jefferson",2011,"2,4-D"
"Georgia-Jefferson",2012,"2,4-D"
"Georgia-Morgan",1992,"2,4-D"
"Georgia-Morgan",1993,"2,4-D"
"Georgia-Morgan",1994,"2,4-D"
"Georgia-Morgan",1995,"2,4-D"
"Georgia-Morgan",1996,"2,4-D"
"Georgia-Morgan",1997,"2,4-D"
"Georgia-Morgan",1998,"2,4-D"
"Georgia-Morgan",1999,"2,4-D"
"Georgia-Morgan",2000,"2,4-D"
"Georgia-Morgan",2001,"2,4-D"
"Georgia-Morgan",2002,"2,4-D"
"Georgia-Morgan",2003,"2,4-D"
"Georgia-Morgan",2004,"2,4-D"
"Georgia-Morgan",2005,"2,4-D"
"Georgia-Morgan",2006,"2,4-D"
"Georgia-Morgan",2007,"2,4-D"
"Georgia-Morgan",2008,"2,4-D"
"Georgia-Morgan",2009,"2,4-D"
"Georgia-Morgan",2010,"2,4-D"
"Georgia-Morgan",2011,"2,4-D"
"Georgia-Morgan",2012,"2,4-D"
"Georgia-Washington",1992,"2,4-D"
"Georgia-Washington",1993,"2,4-D"
"Georgia-Washington",1994,"2,4-D"
"Georgia-Washington",1995,"2,4-D"
"Georgia-Washington",1996,"2,4-D"
"Georgia-Washington",1997,"2,4-D"
"Georgia-Washington",1998,"2,4-D"
"Georgia-Washington",1999,"2,4-D"
"Georgia-Washington",2000,"2,4-D"
"Georgia-Washington",2001,"2,4-D"
"Georgia-Washington",2002,"2,4-D"
"Georgia-Washington",2003,"2,4-D"
"Georgia-Washington",2004,"2,4-D"
"Georgia-Washington",2005,"2,4-D"
"Georgia-Washington",2006,"2,4-D"
"Georgia-Washington",2007,"2,4-D"
"Georgia-Washington",2008,"2,4-D"
"Georgia-Washington",2009,"2,4-D"
"Georgia-Washington",2010,"2,4-D"
"Georgia-Washington",2011,"2,4-D"
"Georgia-Washington",2012,"2,4-D"
"Iowa-Allamakee",1992,"2,4-D"
"Iowa-Allamakee",1993,"2,4-D"
"Iowa-Allamakee",1994,"2,4-D"
"Iowa-Allamakee",1995,"2,4-D"
"Iowa-Allamakee",1996,"2,4-D"
"Iowa-Allamakee",1997,"2,4-D"
"Iowa-Allamakee",1998,"2,4-D"
"Iowa-Allamakee",1999,"2,4-D"
"Iowa-Allamakee",2000,"2,4-D"
"Iowa-Allamakee",2001,"2,4-D"
"Iowa-Allamakee",2002,"2,4-D"
"Iowa-Allamakee",2003,"2,4-D"
"Iowa-Allamakee",2004,"2,4-D"
"Iowa-Allamakee",2005,"2,4-D"
"Iowa-Allamakee",2006,"2,4-D"
"Iowa-Allamakee",2007,"2,4-D"
"Iowa-Allamakee",2008,"2,4-D"
"Iowa-Allamakee",2009,"2,4-D"
"Iowa-Allamakee",2010,"2,4-D"
"Iowa-Allamakee",2011,"2,4-D"
"Iowa-Allamakee",2012,"2,4-D"
"Iowa-Benton",1992,"2,4-D"
"Iowa-Benton",1993,"2,4-D"
"Iowa-Benton",1994,"2,4-D"
"Iowa-Benton",1995,"2,4-D"
"Iowa-Benton",1996,"2,4-D"
"Iowa-Benton",1997,"2,4-D"
"Iowa-Benton",1998,"2,4-D"
"Iowa-Benton",1999,"2,4-D"
"Iowa-Benton",2000,"2,4-D"
"Iowa-Benton",2001,"2,4-D"
"Iowa-Benton",2002,"2,4-D"
"Iowa-Benton",2003,"2,4-D"
"Iowa-Benton",2004,"2,4-D"
"Iowa-Benton",2005,"2,4-D"
"Iowa-Benton",2006,"2,4-D"
"Iowa-Benton",2007,"2,4-D"
"Iowa-Benton",2008,"2,4-D"
"Iowa-Benton",2009,"2,4-D"
"Iowa-Benton",2010,"2,4-D"
"Iowa-Benton",2011,"2,4-D"
"Iowa-Benton",2012,"2,4-D"
"Iowa-Black Hawk",1992,"2,4-D"
"Iowa-Black Hawk",1993,"2,4-D"
"Iowa-Black Hawk",1994,"2,4-D"
"Iowa-Black Hawk",1995,"2,4-D"
"Iowa-Black Hawk",1996,"2,4-D"
"Iowa-Black Hawk",1997,"2,4-D"
"Iowa-Black Hawk",1998,"2,4-D"
"Iowa-Black Hawk",1999,"2,4-D"
"Iowa-Black Hawk",2000,"2,4-D"
"Iowa-Black Hawk",2001,"2,4-D"
"Iowa-Black Hawk",2002,"2,4-D"
"Iowa-Black Hawk",2003,"2,4-D"
"Iowa-Black Hawk",2004,"2,4-D"
"Iowa-Black Hawk",2005,"2,4-D"
"Iowa-Black Hawk",2006,"2,4-D"
"Iowa-Black Hawk",2007,"2,4-D"
"Iowa-Black Hawk",2008,"2,4-D"
"Iowa-Black Hawk",2009,"2,4-D"
"Iowa-Black Hawk",2010,"2,4-D"
"Iowa-Black Hawk",2011,"2,4-D"
"Iowa-Black Hawk",2012,"2,4-D"
"Iowa-Boone",1992,"2,4-D"
"Iowa-Boone",1993,"2,4-D"
"Iowa-Boone",1994,"2,4-D"
"Iowa-Boone",1995,"2,4-D"
"Iowa-Boone",1996,"2,4-D"
"Iowa-Boone",1997,"2,4-D"
"Iowa-Boone",1998,"2,4-D"
"Iowa-Boone",1999,"2,4-D"
"Iowa-Boone",2000,"2,4-D"
"Iowa-Boone",2001,"2,4-D"
"Iowa-Boone",2002,"2,4-D"
"Iowa-Boone",2003,"2,4-D"
"Iowa-Boone",2004,"2,4-D"
"Iowa-Boone",2005,"2,4-D"
"Iowa-Boone",2006,"2,4-D"
"Iowa-Boone",2007,"2,4-D"
"Iowa-Boone",2008,"2,4-D"
"Iowa-Boone",2009,"2,4-D"
"Iowa-Boone",2010,"2,4-D"
"Iowa-Boone",2011,"2,4-D"
"Iowa-Boone",2012,"2,4-D"
"Iowa-Bremer",1992,"2,4-D"
"Iowa-Bremer",1993,"2,4-D"
"Iowa-Bremer",1994,"2,4-D"
"Iowa-Bremer",1995,"2,4-D"
"Iowa-Bremer",1996,"2,4-D"
"Iowa-Bremer",1997,"2,4-D"
"Iowa-Bremer",1998,"2,4-D"
"Iowa-Bremer",1999,"2,4-D"
"Iowa-Bremer",2000,"2,4-D"
"Iowa-Bremer",2001,"2,4-D"
"Iowa-Bremer",2002,"2,4-D"
"Iowa-Bremer",2003,"2,4-D"
"Iowa-Bremer",2004,"2,4-D"
"Iowa-Bremer",2005,"2,4-D"
"Iowa-Bremer",2006,"2,4-D"
"Iowa-Bremer",2007,"2,4-D"
"Iowa-Bremer",2008,"2,4-D"
"Iowa-Bremer",2009,"2,4-D"
"Iowa-Bremer",2010,"2,4-D"
"Iowa-Bremer",2011,"2,4-D"
"Iowa-Bremer",2012,"2,4-D"
"Iowa-Buchanan",1992,"2,4-D"
"Iowa-Buchanan",1993,"2,4-D"
"Iowa-Buchanan",1994,"2,4-D"
"Iowa-Buchanan",1995,"2,4-D"
"Iowa-Buchanan",1996,"2,4-D"
"Iowa-Buchanan",1997,"2,4-D"
"Iowa-Buchanan",1998,"2,4-D"
"Iowa-Buchanan",1999,"2,4-D"
"Iowa-Buchanan",2000,"2,4-D"
"Iowa-Buchanan",2001,"2,4-D"
"Iowa-Buchanan",2002,"2,4-D"
"Iowa-Buchanan",2003,"2,4-D"
"Iowa-Buchanan",2004,"2,4-D"
"Iowa-Buchanan",2005,"2,4-D"
"Iowa-Buchanan",2006,"2,4-D"
"Iowa-Buchanan",2007,"2,4-D"
"Iowa-Buchanan",2008,"2,4-D"
"Iowa-Buchanan",2009,"2,4-D"
"Iowa-Buchanan",2010,"2,4-D"
"Iowa-Buchanan",2011,"2,4-D"
"Iowa-Buchanan",2012,"2,4-D"
"Iowa-Carroll",1992,"2,4-D"
"Iowa-Carroll",1993,"2,4-D"
"Iowa-Carroll",1994,"2,4-D"
"Iowa-Carroll",1995,"2,4-D"
"Iowa-Carroll",1996,"2,4-D"
"Iowa-Carroll",1997,"2,4-D"
"Iowa-Carroll",1998,"2,4-D"
"Iowa-Carroll",1999,"2,4-D"
"Iowa-Carroll",2000,"2,4-D"
"Iowa-Carroll",2001,"2,4-D"
"Iowa-Carroll",2002,"2,4-D"
"Iowa-Carroll",2003,"2,4-D"
"Iowa-Carroll",2004,"2,4-D"
"Iowa-Carroll",2005,"2,4-D"
"Iowa-Carroll",2006,"2,4-D"
"Iowa-Carroll",2007,"2,4-D"
"Iowa-Carroll",2008,"2,4-D"
"Iowa-Carroll",2009,"2,4-D"
"Iowa-Carroll",2010,"2,4-D"
"Iowa-Carroll",2011,"2,4-D"
"Iowa-Carroll",2012,"2,4-D"
"Iowa-Cedar",1992,"2,4-D"
"Iowa-Cedar",1993,"2,4-D"
"Iowa-Cedar",1994,"2,4-D"
"Iowa-Cedar",1995,"2,4-D"
"Iowa-Cedar",1996,"2,4-D"
"Iowa-Cedar",1997,"2,4-D"
"Iowa-Cedar",1998,"2,4-D"
"Iowa-Cedar",1999,"2,4-D"
"Iowa-Cedar",2000,"2,4-D"
"Iowa-Cedar",2001,"2,4-D"
"Iowa-Cedar",2002,"2,4-D"
"Iowa-Cedar",2003,"2,4-D"
"Iowa-Cedar",2004,"2,4-D"
"Iowa-Cedar",2005,"2,4-D"
"Iowa-Cedar",2006,"2,4-D"
"Iowa-Cedar",2007,"2,4-D"
"Iowa-Cedar",2008,"2,4-D"
"Iowa-Cedar",2009,"2,4-D"
"Iowa-Cedar",2010,"2,4-D"
"Iowa-Cedar",2011,"2,4-D"
"Iowa-Cedar",2012,"2,4-D"
"Iowa-Cerro Gordo",1992,"2,4-D"
"Iowa-Cerro Gordo",1993,"2,4-D"
"Iowa-Cerro Gordo",1994,"2,4-D"
"Iowa-Cerro Gordo",1995,"2,4-D"
"Iowa-Cerro Gordo",1996,"2,4-D"
