"SC","variable","value","EPEST_HIGH_KG","Area","perArea","logArea"
"Georgia-Fulton",2005,33,38.4,526.69,0.0729081622966071,-2.61855468057531
"Georgia-Fulton",2006,62,31.2,526.69,0.0592378818659933,-2.82619404535355
"Georgia-Fulton",2007,51,33.1,526.69,0.0628453169796275,-2.76707885778597
"Georgia-Fulton",2008,86,124,526.69,0.235432607416127,-1.44633057456395
"Georgia-Fulton",2009,95,41,526.69,0.0778446524521065,-2.55304007346468
"Georgia-Fulton",2010,40,31.6,526.69,0.0599973418899163,-2.81345501957612
"Georgia-Fulton",2011,76,52.1,526.69,0.0989196681159695,-2.31344719140967
"Georgia-Fulton",2012,13,42.8,526.69,0.08126222255976,-2.51007403758124
"Georgia-Gwinnett",1992,35,27.8,430.75,0.0645385954730122,-2.74049185471145
"Georgia-Gwinnett",1993,55,12.1,430.75,0.0280905397562391,-3.57232242280534
"Georgia-Gwinnett",1994,79,103.9,430.75,0.241207196749855,-1.42209897730286
"Georgia-Gwinnett",1995,63,78.6,430.75,0.182472431804991,-1.70115617597288
"Georgia-Gwinnett",1996,21,79.4,430.75,0.184329657573999,-1.69102950715495
"Georgia-Gwinnett",1997,22,98.4,430.75,0.228438769587928,-1.47648707134983
"Georgia-Gwinnett",1998,80,317.6,430.75,0.737318630295995,-0.304735146035059
"Georgia-Gwinnett",1999,70,61.2,430.75,0.142077771329077,-1.95138068588976
"Georgia-Gwinnett",2000,29,45.4,430.75,0.105397562391178,-2.25001577036074
"Georgia-Gwinnett",2001,44,333.5,430.75,0.77423099245502,-0.255885010052361
"Georgia-Gwinnett",2002,74,127.8,430.75,0.296691816598955,-1.21506133346461
"Georgia-Gwinnett",2003,19,116.5,430.75,0.270458502611724,-1.30763660240228
"Georgia-Gwinnett",2004,94,95.6,430.75,0.221938479396402,-1.50535505535068
"Georgia-Gwinnett",2005,4,25.8,430.75,0.0598955310504933,-2.81515338348047
"Georgia-Gwinnett",2006,93,20.1,430.75,0.0466627974463146,-3.06480806034301
"Georgia-Gwinnett",2007,94,20.3,430.75,0.0471271038885665,-3.0549069893603
"Georgia-Gwinnett",2008,6,79.7,430.75,0.185026117237377,-1.68725828961187
"Georgia-Gwinnett",2009,10,28,430.75,0.0650029019152641,-2.73332336523283
"Georgia-Gwinnett",2010,90,22.8,430.75,0.052930934416715,-2.93876733944764
"Georgia-Gwinnett",2011,62,39.8,430.75,0.0923969820081254,-2.38166096311765
"Georgia-Gwinnett",2012,50,34.6,430.75,0.0803250145095763,-2.52167419334436
"Iowa-Allamakee",1992,13,28.3,639.04,0.04428517776665,-3.11710524557826
"Iowa-Allamakee",1993,47,77,639.04,0.12049323985979,-2.11616162837376
"Iowa-Allamakee",1994,58,61,639.04,0.0954556835252879,-2.34909318605414
"Iowa-Allamakee",1995,94,94.2,639.04,0.147408612919379,-1.91454686864513
"Iowa-Allamakee",1996,26,67.4,639.04,0.105470706059089,-2.24932203230919
"Iowa-Allamakee",1997,19,50.8,639.04,0.0794942413620431,-2.53207069564301
"Iowa-Allamakee",1998,35,21.6,639.04,0.0338007010515774,-3.38727373553733
"Iowa-Allamakee",1999,58,10.7,639.04,0.016743865798698,-4.08972330875959
"Iowa-Allamakee",2000,44,33,639.04,0.0516399599399099,-2.96345948876097
"Iowa-Allamakee",2001,26,18.9,639.04,0.0295756134201302,-3.52080512816185
"Iowa-Allamakee",2002,44,147.9,639.04,0.231440911367051,-1.46343068051069
"Iowa-Allamakee",2003,63,205.3,639.04,0.321263144717076,-1.13549472620256
"Iowa-Allamakee",2004,46,35.3,639.04,0.0552391086629945,-2.8960840862882
"Iowa-Allamakee",2005,34,81.2,639.04,0.127065598397596,-2.06305180305982
"Iowa-Allamakee",2006,84,19.6,639.04,0.0306710065097647,-3.48443748399098
"Iowa-Allamakee",2007,13,137.9,639.04,0.215792438657987,-1.53343826542819
"Iowa-Allamakee",2008,2,8.3,639.04,0.0129882323485228,-4.3437115354249
"Iowa-Allamakee",2009,65,259.1,639.04,0.405451927891838,-0.902752962659386
"Iowa-Allamakee",2010,63,35.9,639.04,0.0561780170255383,-2.87922975473322
"Iowa-Allamakee",2011,84,8.5,639.04,0.0133012018027041,-4.31990088673118
"Iowa-Allamakee",2012,63,12.5,639.04,0.0195605908863295,-3.93423840591919
"Iowa-Benton",1992,77,26.6,716.1,0.0371456500488759,-3.29290860622524
"Iowa-Benton",1993,54,72.2,716.1,0.10082390727552,-2.29437977611412
"Iowa-Benton",1994,82,85,716.1,0.11869850579528,-2.13116856552258
"Iowa-Benton",1995,22,141.1,716.1,0.197039519620165,-1.62435096315412
"Iowa-Benton",1996,31,28.5,716.1,0.0397989107666527,-3.22391573473829
"Iowa-Benton",1997,9,42.9,716.1,0.0599078341013825,-2.81494799607892
"Iowa-Benton",1998,19,9.7,716.1,0.0135455941907555,-4.30169393650356
"Iowa-Benton",1999,73,4.9,716.1,0.00684261974584555,-4.98458461689631
"Iowa-Benton",2000,51,8.3,716.1,0.0115905599776568,-4.45756430721034
"Iowa-Benton",2001,22,9.6,716.1,0.0134059488898199,-4.3120567235391
"Iowa-Benton",2002,62,136.6,716.1,0.190755481078062,-1.6567628748762
"Iowa-Benton",2003,64,178,716.1,0.24856863566541,-1.39203627172081
"Iowa-Benton",2004,46,185.2,716.1,0.258623097332775,-1.35238349980081
"Iowa-Benton",2005,95,4.4,716.1,0.00614439324116743,-5.09221528108868
"Iowa-Benton",2006,23,27.1,716.1,0.037843876553554,-3.27428609412724
"Iowa-Benton",2007,50,32.4,716.1,0.045245077503142,-3.09566139921461
"Iowa-Benton",2008,40,453.3,716.1,0.633012149141181,-0.457265664066091
"Iowa-Benton",2009,1,122.2,716.1,0.170646557743332,-1.7681607752754
"Iowa-Benton",2010,56,221.6,716.1,0.309453986873342,-1.17294586713976
"Iowa-Benton",2011,52,125.9,716.1,0.17581343387795,-1.73833188096259
"Iowa-Benton",2012,41,20.8,716.1,0.0290462225946097,-3.53886683530562
"Iowa-Black Hawk",1992,33,5.5,565.75,0.00972160848431286,-4.63340419227522
"Iowa-Black Hawk",1993,26,10.7,565.75,0.0189129474149359,-3.96790854304579
"Iowa-Black Hawk",1994,7,9.9,565.75,0.0174988952717631,-4.04561752737311
"Iowa-Black Hawk",1995,82,88.3,565.75,0.156076005302696,-1.85741217690373
"Iowa-Black Hawk",1996,88,9.3,565.75,0.0164383561643836,-4.10813788435443
"Iowa-Black Hawk",1997,48,19.7,565.75,0.0348210340256297,-3.3575336487697
"Iowa-Black Hawk",1998,86,4.3,565.75,0.00760053026955369,-4.87953726181413
"Iowa-Black Hawk",1999,60,1.9,565.75,0.00335837384003535,-5.69629839834125
"Iowa-Black Hawk",2000,90,5.1,565.75,0.00901458241272647,-4.70891174478337
"Iowa-Black Hawk",2001,29,2.6,565.75,0.00459566946531153,-5.38264083948621
"Iowa-Black Hawk",2002,14,18.3,565.75,0.0323464427750773,-3.43125122466627
"Iowa-Black Hawk",2003,17,26.1,565.75,0.0461334511710119,-3.076216970185
"Iowa-Black Hawk",2004,38,4.6,565.75,0.00813079982324348,-4.8120959810186
"Iowa-Black Hawk",2005,90,11,565.75,0.0194432169686257,-3.94025701171528
"Iowa-Black Hawk",2006,62,2.7,565.75,0.00477242598320813,-5.34490051150336
"Iowa-Black Hawk",2007,1,19.8,565.75,0.0349977905435263,-3.35247034681316
"Iowa-Black Hawk",2009,38,38.5,565.75,0.06805125939019,-2.68749404321991
"Iowa-Black Hawk",2010,88,5.5,565.75,0.00972160848431286,-4.63340419227522
"Iowa-Black Hawk",2011,98,1.3,565.75,0.00229783473265577,-6.07578802004615
"Iowa-Black Hawk",2012,59,2,565.75,0.00353513035793195,-5.6450051039537
"Iowa-Boone",1992,38,18.8,570.48,0.0329547048099846,-3.41262124188414
"Iowa-Boone",1993,36,64.4,570.48,0.1128873930725,-2.18136447860974
"Iowa-Boone",1994,47,132.4,570.48,0.232085261534147,-1.46065046821714
"Iowa-Boone",1995,72,24.5,570.48,0.042946290842799,-3.14780499416937
"Iowa-Boone",1996,54,350.6,570.48,0.614570186509606,-0.486832139232914
"Iowa-Boone",1997,9,37.9,570.48,0.0664352825690646,-2.71152699963167
"Iowa-Boone",1998,33,13.4,570.48,0.0234889917262656,-3.75122340476318
"Iowa-Boone",1999,89,28.2,570.48,0.0494320572149769,-3.00715613377598
"Iowa-Boone",2000,65,7.1,570.48,0.0124456597952601,-4.38638332767278
"Iowa-Boone",2001,52,3.2,570.48,0.00560931145701865,-5.18332730191437
"Iowa-Boone",2002,66,35.5,570.48,0.0622282989763007,-2.77694541523868
"Iowa-Boone",2003,77,91.6,570.48,0.160566540457159,-1.82904684003996
"Iowa-Boone",2004,54,90.6,570.48,0.158813630626841,-1.84002389867111
"Iowa-Boone",2005,89,4.6,570.48,0.00806338521946431,-4.820421808225
"Iowa-Boone",2006,95,22,570.48,0.0385640162670032,-3.25543565836173
"Iowa-Boone",2007,12,20.8,570.48,0.0364605244706212,-3.31152512501278
"Iowa-Boone",2008,33,9.3,570.48,0.0163020614219605,-4.11646371156083
"Iowa-Boone",2009,9,327.4,570.48,0.573902678446221,-0.555295446783013
"Iowa-Boone",2010,83,25.4,570.48,0.0445239096900855,-3.11172893769556
"Iowa-Boone",2012,8,51.8,570.48,0.0908007292104894,-2.39908796245461
"Iowa-Bremer",1992,6,6.3,435.48,0.0144667952604023,-4.23589923761549
"Iowa-Bremer",1993,18,11.2,435.48,0.0257187471296041,-3.66053509271193
"Iowa-Bremer",1994,85,10.7,435.48,0.0245705887756039,-3.70620512954512
"Iowa-Bremer",1995,17,69.3,435.48,0.159134747864425,-1.83800396481712
"Iowa-Bremer",1996,61,10.3,435.48,0.0236520620924038,-3.74430497577739
"Iowa-Bremer",1997,93,26.6,435.48,0.0610820244328098,-2.79553765522533
"Iowa-Bremer",1998,17,4.9,435.48,0.0112519518692018,-4.4872136658964
"Iowa-Bremer",1999,16,2.1,435.48,0.00482226508680077,-5.3345115262836
"Iowa-Bremer",2000,90,5.9,435.48,0.0135482685772022,-4.3014965201013
"Iowa-Bremer",2001,74,3,435.48,0.0068889501240011,-4.97783658234487
"Iowa-Bremer",2002,64,21.4,435.48,0.0491411775512079,-3.01305794898517
"Iowa-Bremer",2003,22,30.4,435.48,0.0698080279232112,-2.6620062626008
"Iowa-Bremer",2004,87,5.4,435.48,0.012400110223202,-4.39004991744275
"Iowa-Bremer",2005,46,12.6,435.48,0.0289335905208046,-3.54275205705555
"Iowa-Bremer",2006,91,3.1,435.48,0.00711858179480114,-4.94504675952188
"Iowa-Bremer",2007,72,22.5,435.48,0.0516671259300083,-2.9629335618026
"Iowa-Bremer",2008,33,1.2,435.48,0.00275558004960044,-5.89412731421903
"Iowa-Bremer",2009,57,37.5,435.48,0.0861118765500138,-2.45210793803661
"Iowa-Bremer",2010,54,5.3,435.48,0.0121704785524019,-4.40874205045491
"Iowa-Bremer",2011,72,1.3,435.48,0.00298521172040048,-5.81408460654549
"Iowa-Bremer",2012,47,1.9,435.48,0.0043630017452007,-5.43459498484058
"Iowa-Buchanan",1992,70,8.5,571.08,0.0148840792883659,-4.20746314142475
"Iowa-Buchanan",1993,59,14.7,571.08,0.0257407018281151,-3.65968181113633
"Iowa-Buchanan",1994,42,13.6,571.08,0.0238145268613854,-3.73745951217902
"Iowa-Buchanan",1995,67,88.7,571.08,0.155319745044477,-1.86226941560549
"Iowa-Buchanan",1996,70,14.4,571.08,0.0252153813826434,-3.68030109833906
"Iowa-Buchanan",1997,64,29.8,571.08,0.0521818309168593,-2.95302091140966
"Iowa-Buchanan",1998,3,7,571.08,0.0122574770610072,-4.40161915586571
"Iowa-Buchanan",1999,52,3.1,571.08,0.00542831126987462,-5.21612719342992
"Iowa-Buchanan",2000,92,8.7,571.08,0.0152342929186804,-4.18420627926048
"Iowa-Buchanan",2001,36,4.6,571.08,0.00805491349723331,-4.82147300142597
"Iowa-Buchanan",2002,83,33,571.08,0.0577852490018912,-2.85102174345454
"Iowa-Buchanan",2003,28,47.1,571.08,0.0824753099390628,-2.49525630389865
"Iowa-Buchanan",2004,63,8.3,571.08,0.0145338656580514,-4.23127379011847
"Iowa-Buchanan",2005,84,19.7,571.08,0.0344960425859774,-3.36691066917708
"Iowa-Buchanan",2006,29,4.9,571.08,0.00858023394270505,-4.75829409980444
"Iowa-Buchanan",2007,84,35.4,571.08,0.061987812565665,-2.78081748478129
"Iowa-Buchanan",2008,59,1.6,571.08,0.00280170904251593,-5.87752567567529
"Iowa-Buchanan",2009,35,49.8,571.08,0.0872031939483085,-2.43951432089041
"Iowa-Buchanan",2010,80,6.8,571.08,0.0119072634306927,-4.43060669273896
"Iowa-Buchanan",2011,80,1.6,571.08,0.00280170904251593,-5.87752567567529
"Iowa-Buchanan",2012,75,2.3,571.08,0.00402745674861666,-5.51462018198591
"Iowa-Carroll",1992,24,78.3,569.45,0.137501097550268,-1.9841233797236
"Iowa-Carroll",1995,93,86.7,569.45,0.15225217314953,-1.88221709893387
"Iowa-Carroll",1996,55,70.9,569.45,0.124506102379489,-2.08340054918228
"Iowa-Carroll",1997,78,59.5,569.45,0.104486785494776,-2.25869467016877
"Iowa-Carroll",1998,10,19.6,569.45,0.034419176398279,-3.36914141648389
"Iowa-Carroll",1999,90,30.7,569.45,0.0539116691544473,-2.92040832812721
"Iowa-Carroll",2000,58,20.7,569.45,0.036350864869611,-3.31453728244904
"Iowa-Carroll",2001,66,21.1,569.45,0.0370532970410045,-3.29539794223834
"Iowa-Carroll",2002,82,15.5,569.45,0.0272192466414962,-3.60383095879516
"Iowa-Carroll",2003,71,12.7,569.45,0.022302221441742,-3.80306898925582
"Iowa-Carroll",2004,86,100.5,569.45,0.176486083062604,-1.73451325522123
"Iowa-Carroll",2005,100,12.3,569.45,0.0215997892703486,-3.83507172034199
"Iowa-Carroll",2007,70,21,569.45,0.0368776889981561,-3.30014854499694
"Iowa-Carroll",2009,35,319.7,569.45,0.561418912986215,-0.577287926654564
"Iowa-Carroll",2010,90,44.4,569.45,0.0779699710246729,-2.55143151328218
"Iowa-Carroll",2011,79,2.7,569.45,0.00474141715690579,-5.35141920971008
"Iowa-Carroll",2012,78,4.8,569.45,0.0084291860567214,-4.77605506480651
"Iowa-Cedar",1992,8,21.8,579.46,0.0376212335622821,-3.28018666558086
"Iowa-Cedar",1993,8,58,579.46,0.100093190211576,-2.30165362482948
"Iowa-Cedar",1994,68,66.6,579.46,0.114934594277431,-2.16339205782955
"Iowa-Cedar",1995,3,101.5,579.46,0.175163082870259,-1.74203783689405
"Iowa-Cedar",1996,14,25.1,579.46,0.0433161909363891,-3.13922878923816
"Iowa-Cedar",1997,49,31.3,579.46,0.0540158078210748,-2.91847853782979
"Iowa-Cedar",1998,2,9.1,579.46,0.0157042763952646,-4.15382222185309
"Iowa-Cedar",1999,75,4.4,579.46,0.00759327649880924,-4.88049209445168
"Iowa-Cedar",2000,43,7.2,579.46,0.012425361543506,-4.38801560935389
"Iowa-Cedar",2001,31,8.1,579.46,0.0139785317364443,-4.2702325736975
"Iowa-Cedar",2002,71,112.2,579.46,0.193628550719636,-1.6418136422873
"Iowa-Cedar",2003,77,140.3,579.46,0.242121975632485,-1.41831364826749
"Iowa-Cedar",2004,62,140.4,579.46,0.242294550098367,-1.41760114378419
"Iowa-Cedar",2005,9,3.2,579.46,0.0055223829082249,-5.19894582557022
"Iowa-Cedar",2006,6,19.1,579.46,0.0329617229834674,-3.41240830032331
"Iowa-Cedar",2007,31,22.1,579.46,0.0381389569599282,-3.26651902685219
"Iowa-Cedar",2008,65,370.1,579.46,0.638698098229386,-0.448323395983789
"Iowa-Cedar",2009,35,102.8,579.46,0.177406550926725,-1.72931128235483
"Iowa-Cedar",2010,69,192.9,579.46,0.332896144686432,-1.09992471546422
"Iowa-Cedar",2011,39,113.9,579.46,0.19656231663963,-1.62677576492276
"Iowa-Cedar",2012,88,19.6,579.46,0.0338245953128775,-3.38656706913943
"Iowa-Cerro Gordo",1992,23,22.5,568.3,0.0395917649128981,-3.2291341390927
"Iowa-Cerro Gordo",1993,86,40.2,568.3,0.070737286644378,-2.6487824526781
"Iowa-Cerro Gordo",1994,75,21.4,568.3,0.0376561675171564,-3.27925852627527
"Iowa-Cerro Gordo",1995,35,16.1,568.3,0.0283301073376738,-3.56383017631266
"Iowa-Cerro Gordo",1996,100,235.5,568.3,0.414393806088334,-0.880938534846603
"Iowa-Cerro Gordo",1997,94,9.9,568.3,0.0174203765616752,-4.05011469116253
"Iowa-Cerro Gordo",1998,71,5,568.3,0.00879816998064403,-4.73321153586897
"Iowa-Cerro Gordo",1999,11,2,568.3,0.00351926799225761,-5.64950226774313
"Iowa-Cerro Gordo",2000,56,23.4,568.3,0.041175435509414,-3.18991342593942
"Iowa-Cerro Gordo",2002,52,24.4,568.3,0.0429350695055428,-3.14806631600392
"Iowa-Cerro Gordo",2003,37,94.4,568.3,0.166109449234559,-1.79510837515162
"Iowa-Cerro Gordo",2004,28,37.7,568.3,0.066338201654056,-2.71298935384911
"Iowa-Cerro Gordo",2005,67,22.3,568.3,0.0392398381136724,-3.238062769837
"Iowa-Cerro Gordo",2006,7,8.8,568.3,0.0154847791659335,-4.16789772681891
"Iowa-Cerro Gordo",2007,60,18.5,568.3,0.0325532289283829,-3.4248787162188
"Iowa-Cerro Gordo",2009,92,34.7,568.3,0.0610592996656696,-2.79590976135026
"Iowa-Cerro Gordo",2010,71,13.1,568.3,0.0230512053492874,-3.77003721809597
"Iowa-Cerro Gordo",2012,1,14.5,568.3,0.0255146929438677,-3.66850079887655
"Iowa-Clayton",1992,56,30.1,778.49,0.0386645942786677,-3.25283097422156
"Iowa-Clayton",1993,11,73.2,778.49,0.0940281827640689,-2.36416072500913
"Iowa-Clayton",1994,20,59.3,778.49,0.076173104343023,-2.57474683997272
"Iowa-Clayton",1995,29,90.6,778.49,0.116379144240774,-2.15090193292746
"Iowa-Clayton",1996,50,62.7,778.49,0.0805405335970918,-2.51899469833752
"Iowa-Clayton",1997,93,52.9,778.49,0.0679520610412465,-2.68895280711214
"Iowa-Clayton",1998,29,16.6,778.49,0.0213233310639828,-3.8479534506139
"Iowa-Clayton",1999,58,7.7,778.49,0.00989094272244987,-4.61613581711676
"Iowa-Clayton",2000,90,22.6,778.49,0.0290305591593983,-3.53940623969816
"Iowa-Clayton",2001,97,12.4,778.49,0.015928271397192,-4.1396596733654
"Iowa-Clayton",2002,80,92.3,778.49,0.118562858867808,-2.13231200446759
"Iowa-Clayton",2003,87,137.2,778.49,0.176238615781834,-1.73591643068461
"Iowa-Clayton",2004,16,25.2,778.49,0.032370358000745,-3.43051215145902
"Iowa-Clayton",2005,3,62.1,778.49,0.0797698107875503,-2.52861015703696
"Iowa-Clayton",2006,58,16,778.49,0.0205526082544413,-3.88476742373661
"Iowa-Clayton",2007,10,120.2,778.49,0.15440146951149,-1.86819912387529
"Iowa-Clayton",2008,65,6.4,778.49,0.00822104330177652,-4.80105815561077
"Iowa-Clayton",2009,47,193.6,778.49,0.24868655987874,-1.39156197113392
"Iowa-Clayton",2010,64,26.1,778.49,0.0335264422150574,-3.39542083164775
"Iowa-Clayton",2011,11,6,778.49,0.00770722809541548,-4.86559667674834
"Iowa-Clayton",2012,22,8.5,778.49,0.0109185731351719,-4.51728998248013
"Iowa-Clinton",1992,89,24.5,694.95,0.0352543348442334,-3.34516678298009
"Iowa-Clinton",1993,15,63.9,694.95,0.0919490610835312,-2.38652053914728
"Iowa-Clinton",1994,14,72,694.95,0.103604575868768,-2.26717378151471
"Iowa-Clinton",1995,25,102.5,694.95,0.147492625368732,-1.9139771019523
"Iowa-Clinton",1996,39,29.1,694.95,0.0418735160802935,-3.17310172635332
"Iowa-Clinton",1997,63,36.7,694.95,0.052809554644219,-2.94106314547024
"Iowa-Clinton",1998,95,10.1,694.95,0.0145334196704799,-4.23130447668355
"Iowa-Clinton",1999,63,4.9,694.95,0.00705086696884668,-4.95460469541419
"Iowa-Clinton",2000,70,7.8,694.95,0.0112238290524498,-4.48971616683522
"Iowa-Clinton",2001,80,8.7,694.95,0.0125188862508094,-4.38051687487023
"Iowa-Clinton",2002,21,119.7,694.95,0.172242607381826,-1.75885128796684
"Iowa-Clinton",2003,24,153,694.95,0.220159723721131,-1.51340197913833
"Iowa-Clinton",2004,78,156.3,694.95,0.224908266781783,-1.49206266310334
"Iowa-Clinton",2005,76,3.6,694.95,0.00518022879343838,-5.2629060550687
"Iowa-Clinton",2006,82,22.1,694.95,0.0318008489819411,-3.44826229200706
"Iowa-Clinton",2007,34,26.1,694.95,0.0375566587524282,-3.28190458620212
"Iowa-Clinton",2008,20,440.1,694.95,0.633282969997842,-0.456837926713721
"Iowa-Clinton",2009,63,126,694.95,0.181308007770343,-1.70755799357929
"Iowa-Clinton",2010,39,244.3,694.95,0.351536081732499,-1.04544292226707
"Iowa-Clinton",2011,73,149.3,694.95,0.21483559968343,-1.53788219598562
"Iowa-Clinton",2012,28,26.7,694.95,0.0384200302180013,-3.25917633512456
"Iowa-Crawford",1992,98,238.8,714.19,0.334364804883854,-1.09552265186368
"Iowa-Crawford",1995,51,234.4,714.19,0.328203979333231,-1.11411997567926
"Iowa-Crawford",1996,7,191.3,714.19,0.26785589268962,-1.31730615693592
"Iowa-Crawford",1997,98,180.1,714.19,0.252173791288033,-1.37763678120021
"Iowa-Crawford",1998,72,61.6,714.19,0.086251557708733,-2.45048716284265
"Iowa-Crawford",1999,66,85.9,714.19,0.120276116999678,-2.11796520439191
"Iowa-Crawford",2000,77,51.5,714.19,0.0721096626948011,-2.62956722571243
"Iowa-Crawford",2001,63,46.8,714.19,0.0655287808566348,-2.72526583045852
"Iowa-Crawford",2002,10,30.6,714.19,0.0428457413293381,-3.15014902442379
"Iowa-Crawford",2003,56,24.8,714.19,0.0347246531035159,-3.36030538021118
"Iowa-Crawford",2004,53,195.5,714.19,0.273736680715216,-1.2955886539567
"Iowa-Crawford",2005,31,23.8,714.19,0.0333244654783741,-3.40146345270469
"Iowa-Crawford",2007,85,40.1,714.19,0.0561475237681849,-2.8797726990696
"Iowa-Crawford",2010,93,92.2,714.19,0.129097299038071,-2.04718890281957
"Iowa-Crawford",2011,77,5.9,714.19,0.00826110698833644,-4.79619668247045
"Iowa-Crawford",2012,38,11.1,714.19,0.0155420826390736,-4.16420392506384
"Iowa-Dallas",1992,87,33,588.3,0.0560938296787353,-2.88072946040393
"Iowa-Dallas",1993,34,105.5,588.3,0.179330273669896,-1.71852606895429
"Iowa-Dallas",1994,62,185.4,588.3,0.315145334013259,-1.15472136873865
"Iowa-Dallas",1995,37,42.1,588.3,0.0715621281659018,-2.63718928118207
"Iowa-Dallas",1997,67,57.4,588.3,0.0975692673805881,-2.32719271854489
"Iowa-Dallas",1998,37,24.8,588.3,0.0421553629100799,-3.16639336869947
"Iowa-Dallas",1999,38,58.1,588.3,0.0987591364949856,-2.31507135801254
"Iowa-Dallas",2000,27,16.3,588.3,0.0277069522352541,-3.58607191405769
"Iowa-Dallas",2001,59,8,588.3,0.0135985041645419,-4.29779548019057
"Iowa-Dallas",2002,25,99.6,588.3,0.169301376848547,-1.77607485727986
"Iowa-Dallas",2003,97,238.8,588.3,0.405915349311576,-0.901610640351962
"Iowa-Dallas",2004,53,220.5,588.3,0.374808771035186,-0.98133932698351
"Iowa-Dallas",2005,91,10.5,588.3,0.0178480367159612,-4.02586176470694
"Iowa-Dallas",2006,15,47.1,588.3,0.0800611932687404,-2.52496402084804
"Iowa-Dallas",2007,6,42.1,588.3,0.0715621281659018,-2.63718928118207
"Iowa-Dallas",2008,56,14.1,588.3,0.0239673635900051,-3.73106222448629
"Iowa-Dallas",2009,50,497.7,588.3,0.845996940336563,-0.167239536005902
"Iowa-Dallas",2010,36,38.8,588.3,0.0659527451980282,-2.71881677524118
"Iowa-Dallas",2011,47,1.5,588.3,0.00254971953085161,-5.97177191376224
"Iowa-Dallas",2012,51,80,588.3,0.135985041645419,-1.99521038719653
"Iowa-Delaware",1992,42,10.7,577.68,0.0185223653233624,-3.98877634067507
"Iowa-Delaware",1993,96,21.9,577.68,0.0379102617366016,-3.27253344532047
"Iowa-Delaware",1994,68,18.7,577.68,0.0323708627613904,-3.43049655828238
"Iowa-Delaware",1995,37,61.1,577.68,0.105767899182939,-2.24650821596537
"Iowa-Delaware",1996,90,19.2,577.68,0.0332363938512671,-3.40410980310919
"Iowa-Delaware",1997,43,27.8,577.68,0.0481235285971472,-3.03398406144633
"Iowa-Delaware",1998,3,7.5,577.68,0.0129829663481512,-4.34411706160066
"Iowa-Delaware",1999,9,3.5,577.68,0.00605871762913724,-5.10625711364756
"Iowa-Delaware",2000,67,10.5,577.68,0.0181761528874117,-4.00764482497945
"Iowa-Delaware",2001,33,5.8,577.68,0.0100401606425703,-4.60116216459055
