"Pesticide","Adjustment","Effect","P_value","N_obs","N_SC","Effect_Non_Adj","Pvalue_Non_Adj"
"Chlorothalonil","Rimsulfuron",0.2262,"1.31e-01",1410,100,0.3414,"2.12e-02"
"Chlorothalonil","Glufosinate",0.2758,"7.99e-02",1276,101,0.3677,"1.99e-02"
"Chlorothalonil","Tebupirimphos",0.2201,"2.88e-01",1014,79,0.4492,"1.64e-02"
"Chlorothalonil","Diflufenzopyr",0.2513,"1.36e-01",1124,98,0.3616,"2.80e-02"
"Chlorothalonil","Flumioxazin",0.3302,"1.85e-01",716,93,0.4408,"7.12e-02"
"Clopyralid","Alachlor",0.255,"6.46e-02",1804,100,0.3547,"1.63e-03"
"Clopyralid","Atrazine",0.1404,"3.14e-01",1900,102,0.3203,"2.63e-03"
"Clopyralid","Carbaryl",0.2755,"1.64e-02",1903,102,0.3223,"2.53e-03"
"Clopyralid","Chlorothalonil",0.3187,"3.30e-03",1843,102,0.3481,"1.19e-03"
"Clopyralid","Cyfluthrin",0.1073,"4.97e-01",1538,101,0.2644,"3.51e-02"
"Clopyralid","Cyhalothrinlambda",0.2397,"9.73e-02",1678,102,0.3018,"1.01e-02"
"Clopyralid","Diazinon",0.3166,"6.65e-03",1619,102,0.3524,"2.14e-03"
"Clopyralid","Esfenvalerate",0.2082,"9.31e-02",1847,101,0.3171,"3.57e-03"
"Clopyralid","Glyphosate",0.0416,"7.79e-01",1935,103,0.3174,"2.64e-03"
"Clopyralid","Metolachlor",0.289,"5.40e-02",1564,101,0.4263,"3.71e-04"
"Clopyralid","Nicosulfuron",0.1896,"2.39e-01",1614,100,0.4493,"3.36e-04"
"Clopyralid","Pendimethalin",0.2365,"5.67e-02",1916,103,0.3237,"2.22e-03"
"Clopyralid","Picloram",0.3656,"3.14e-03",1755,93,0.387,"1.13e-03"
"Clopyralid","Propargite",0.2519,"9.01e-02",1014,94,0.098,"5.02e-01"
"Clopyralid","Sethoxydim",0.2402,"5.84e-02",1804,102,0.3146,"4.68e-03"
"Clopyralid","Simazine",0.2251,"9.44e-02",1651,103,0.3998,"6.62e-04"
"Clopyralid","Terbufos",0.2985,"7.54e-02",1497,99,0.4265,"1.68e-03"
"Clopyralid","Dimethenamid",0.1514,"4.30e-01",1478,99,0.422,"2.07e-03"
"Clopyralid","Fenbuconazole",0.0781,"6.12e-01",385,29,0.0065,"9.66e-01"
"Clopyralid","Acetochlor",0.1833,"3.32e-01",1470,100,0.4367,"1.24e-03"
"Clopyralid","Imidacloprid",0.1521,"2.28e-01",1467,103,0.183,"1.16e-01"
"Clopyralid","Rimsulfuron",0.1303,"4.93e-01",1421,103,0.3905,"3.74e-03"
"Clopyralid","Glufosinate",-0.0105,"9.57e-01",1258,100,0.3528,"1.24e-02"
"Clopyralid","Tebupirimphos",0.2285,"4.90e-01",1012,79,0.708,"2.73e-03"
"Clopyralid","Diflufenzopyr",0.0662,"7.50e-01",1130,99,0.3536,"2.38e-02"
"Clopyralid","Flumioxazin",-0.0264,"9.23e-01",710,93,0.3079,"1.25e-01"
"Cyfluthrin","Alachlor",0.3627,"6.78e-02",1473,98,0.4361,"5.12e-03"
"Cyfluthrin","Atrazine",0.1835,"3.91e-01",1556,98,0.4034,"6.85e-03"
"Cyfluthrin","Carbaryl",0.3328,"3.97e-02",1564,99,0.4016,"6.52e-03"
"Cyfluthrin","Chlorothalonil",0.3522,"2.17e-02",1515,99,0.4068,"6.72e-03"
"Cyfluthrin","Clopyralid",0.3328,"7.60e-02",1552,99,0.4015,"7.07e-03"
"Cyfluthrin","Cyhalothrinlambda",0.333,"9.65e-02",1535,99,0.3983,"9.20e-03"
"Cyfluthrin","Diazinon",0.3153,"5.77e-02",1285,99,0.3575,"2.87e-02"
"Cyfluthrin","Esfenvalerate",0.2145,"2.26e-01",1528,98,0.3798,"1.13e-02"
"Cyfluthrin","Glyphosate",0.1707,"4.11e-01",1582,99,0.3981,"6.64e-03"
"Cyfluthrin","Metolachlor",0.5108,"2.83e-02",1255,99,0.5966,"3.48e-04"
"Cyfluthrin","Nicosulfuron",0.2621,"2.63e-01",1325,97,0.6249,"3.35e-04"
"Cyfluthrin","Pendimethalin",0.3236,"8.55e-02",1572,99,0.4028,"6.04e-03"
"Cyfluthrin","Picloram",0.4222,"1.22e-02",1418,90,0.4482,"5.47e-03"
"Cyfluthrin","Propargite",0.4656,"6.50e-03",708,82,0.3377,"5.27e-02"
"Cyfluthrin","Sethoxydim",0.3001,"9.97e-02",1476,99,0.398,"8.29e-03"
"Cyfluthrin","Simazine",0.2456,"2.12e-01",1313,99,0.5063,"2.32e-03"
"Cyfluthrin","Terbufos",0.5398,"2.99e-02",1214,96,0.5931,"1.14e-03"
"Cyfluthrin","Dimethenamid",0.3472,"1.74e-01",1261,96,0.5942,"8.76e-04"
"Cyfluthrin","Fenbuconazole",0.0018,"9.93e-01",326,26,0.1894,"4.07e-01"
"Cyfluthrin","Acetochlor",0.4478,"8.99e-02",1270,97,0.6902,"1.53e-04"
"Cyfluthrin","Imidacloprid",0.4106,"1.70e-02",1309,99,0.3621,"2.04e-02"
"Cyfluthrin","Rimsulfuron",0.2067,"3.93e-01",1329,98,0.4734,"7.03e-03"
"Cyfluthrin","Glufosinate",-0.0098,"9.70e-01",1238,97,0.4663,"1.01e-02"
"Cyfluthrin","Tebupirimphos",0.6887,"7.26e-02",1019,77,0.8545,"3.95e-04"
"Cyfluthrin","Diflufenzopyr",0.3888,"1.43e-01",1121,96,0.5124,"6.97e-03"
"Cyfluthrin","Flumioxazin",0.0826,"8.42e-01",697,89,0.4681,"9.74e-02"
"Cyhalothrinlambda","Alachlor",0.3496,"1.61e-01",1592,98,0.5119,"1.91e-03"
"Cyhalothrinlambda","Atrazine",0.0965,"6.75e-01",1685,100,0.4145,"8.11e-03"
"Cyhalothrinlambda","Carbaryl",0.375,"3.87e-02",1685,100,0.4183,"7.43e-03"
"Cyhalothrinlambda","Chlorothalonil",0.338,"4.50e-02",1624,100,0.4356,"6.15e-03"
"Cyhalothrinlambda","Clopyralid",0.2369,"2.19e-01",1682,100,0.4189,"7.97e-03"
"Cyhalothrinlambda","Cyfluthrin",0.1432,"5.30e-01",1531,99,0.3771,"2.89e-02"
"Cyhalothrinlambda","Diazinon",0.3611,"5.05e-02",1402,100,0.4467,"1.20e-02"
"Cyhalothrinlambda","Esfenvalerate",0.211,"2.96e-01",1637,99,0.403,"1.18e-02"
"Cyhalothrinlambda","Glyphosate",-0.0347,"8.77e-01",1706,100,0.4148,"7.59e-03"
"Cyhalothrinlambda","Metolachlor",0.7253,"1.05e-02",1349,99,0.7533,"4.37e-05"
"Cyhalothrinlambda","Nicosulfuron",0.3986,"1.07e-01",1419,98,0.7198,"1.01e-04"
"Cyhalothrinlambda","Pendimethalin",0.3059,"1.58e-01",1697,100,0.4322,"5.45e-03"
"Cyhalothrinlambda","Picloram",0.361,"4.72e-02",1533,91,0.4262,"1.07e-02"
"Cyhalothrinlambda","Propargite",0.3704,"4.45e-02",819,92,0.1144,"5.13e-01"
"Cyhalothrinlambda","Sethoxydim",0.3745,"5.82e-02",1594,100,0.4643,"3.71e-03"
"Cyhalothrinlambda","Simazine",0.3247,"1.47e-01",1429,100,0.5936,"6.93e-04"
"Cyhalothrinlambda","Terbufos",0.4825,"9.42e-02",1306,97,0.6354,"1.43e-03"
"Cyhalothrinlambda","Dimethenamid",0.324,"2.65e-01",1402,97,0.6323,"4.32e-04"
"Cyhalothrinlambda","Fenbuconazole",-0.1339,"5.52e-01",372,27,0.1775,"3.61e-01"
"Cyhalothrinlambda","Acetochlor",0.463,"1.48e-01",1385,98,0.7707,"1.17e-04"
"Cyhalothrinlambda","Imidacloprid",0.4135,"2.55e-02",1427,100,0.4021,"1.48e-02"
"Cyhalothrinlambda","Rimsulfuron",0.2473,"3.24e-01",1435,100,0.6196,"1.23e-03"
"Cyhalothrinlambda","Glufosinate",0.1846,"4.90e-01",1270,98,0.62,"1.31e-03"
"Cyhalothrinlambda","Tebupirimphos",0.6399,"1.43e-01",1019,77,0.9858,"5.44e-04"
"Cyhalothrinlambda","Diflufenzopyr",0.4068,"1.84e-01",1141,96,0.6582,"3.09e-03"
"Cyhalothrinlambda","Flumioxazin",-0.1246,"7.88e-01",701,90,0.5635,"5.36e-02"
"Diazinon","Alachlor",0.3328,"3.18e-02",1618,99,0.4327,"4.22e-03"
"Diazinon","Atrazine",0.2174,"1.41e-01",1697,102,0.3501,"1.58e-02"
"Diazinon","Carbaryl",0.2935,"4.52e-02",1713,103,0.3501,"1.39e-02"
"Diazinon","Chlorothalonil",0.296,"4.39e-02",1672,103,0.348,"1.54e-02"
"Diazinon","Clopyralid",0.2756,"5.68e-02",1625,103,0.3385,"1.97e-02"
"Diazinon","Cyfluthrin",0.2658,"9.56e-02",1305,102,0.3142,"4.65e-02"
"Diazinon","Cyhalothrinlambda",0.3022,"5.36e-02",1425,103,0.361,"1.73e-02"
"Diazinon","Esfenvalerate",0.1679,"2.72e-01",1670,102,0.3009,"3.98e-02"
"Diazinon","Glyphosate",0.1734,"2.28e-01",1730,103,0.3426,"1.52e-02"
"Diazinon","Metolachlor",0.2498,"1.39e-01",1404,102,0.4008,"1.48e-02"
"Diazinon","Nicosulfuron",0.3336,"4.64e-02",1440,100,0.473,"4.77e-03"
"Diazinon","Pendimethalin",0.2829,"4.80e-02",1723,103,0.3594,"1.12e-02"
"Diazinon","Picloram",0.3607,"2.32e-02",1524,101,0.3763,"1.82e-02"
"Diazinon","Propargite",0.3562,"1.97e-02",989,94,0.3173,"4.29e-02"
"Diazinon","Sethoxydim",0.2315,"1.29e-01",1628,103,0.2792,"6.60e-02"
"Diazinon","Simazine",0.2497,"1.35e-01",1489,103,0.4281,"9.40e-03"
"Diazinon","Terbufos",0.38,"3.34e-02",1343,99,0.4675,"8.57e-03"
"Diazinon","Dimethenamid",0.3486,"5.75e-02",1289,99,0.4817,"8.02e-03"
"Diazinon","Fenbuconazole",0.2305,"1.11e-01",367,29,0.228,"1.24e-01"
"Diazinon","Acetochlor",0.3882,"2.67e-02",1247,99,0.5146,"2.97e-03"
"Diazinon","Imidacloprid",0.2282,"1.45e-01",1294,102,0.2576,"8.43e-02"
"Diazinon","Rimsulfuron",0.3449,"4.85e-02",1180,102,0.4501,"8.94e-03"
"Diazinon","Glufosinate",0.2998,"1.03e-01",1059,100,0.4117,"2.50e-02"
"Diazinon","Tebupirimphos",0.445,"6.51e-02",810,79,0.6194,"6.96e-03"
"Diazinon","Diflufenzopyr",0.2829,"1.52e-01",952,99,0.4184,"2.77e-02"
"Diazinon","Flumioxazin",-0.0556,"8.34e-01",571,91,0.1088,"6.77e-01"
"Esfenvalerate","Alachlor",0.3571,"4.91e-02",1862,99,0.4817,"1.67e-04"
"Esfenvalerate","Atrazine",0.2393,"1.95e-01",1931,99,0.4475,"3.12e-04"
"Esfenvalerate","Carbaryl",0.4958,"1.47e-03",1954,100,0.4444,"3.11e-04"
"Esfenvalerate","Chlorothalonil",0.4802,"5.74e-04",1889,100,0.4756,"1.04e-04"
"Esfenvalerate","Clopyralid",0.3276,"2.09e-02",1840,100,0.4437,"5.38e-04"
"Esfenvalerate","Cyfluthrin",0.4189,"1.93e-02",1519,100,0.4995,"8.92e-04"
"Esfenvalerate","Cyhalothrinlambda",0.3444,"5.28e-02",1639,100,0.4265,"2.54e-03"
"Esfenvalerate","Diazinon",0.3698,"9.83e-03",1698,100,0.4152,"1.92e-03"
"Esfenvalerate","Glyphosate",0.1568,"3.53e-01",1961,100,0.4451,"2.96e-04"
"Esfenvalerate","Metolachlor",0.3721,"6.69e-02",1616,100,0.5521,"6.50e-05"
"Esfenvalerate","Nicosulfuron",0.2348,"2.29e-01",1680,98,0.5724,"5.49e-05"
"Esfenvalerate","Pendimethalin",0.3883,"1.73e-02",1954,100,0.4526,"2.37e-04"
"Esfenvalerate","Picloram",0.4182,"2.18e-03",1752,99,0.4484,"6.21e-04"
"Esfenvalerate","Propargite",0.2369,"7.65e-02",1020,92,0.208,"1.31e-01"
"Esfenvalerate","Sethoxydim",0.3224,"3.87e-02",1861,100,0.4283,"8.43e-04"
"Esfenvalerate","Simazine",0.3343,"8.45e-02",1719,100,0.582,"3.64e-05"
"Esfenvalerate","Terbufos",0.4754,"1.70e-02",1557,98,0.5701,"1.08e-04"
"Esfenvalerate","Dimethenamid",0.2993,"1.34e-01",1519,98,0.5251,"4.07e-04"
"Esfenvalerate","Fenbuconazole",-0.0461,"8.11e-01",405,29,0.0918,"6.23e-01"
"Esfenvalerate","Acetochlor",0.3767,"8.08e-02",1463,98,0.5563,"2.37e-04"
"Esfenvalerate","Imidacloprid",0.5305,"2.81e-03",1438,100,0.4009,"5.28e-03"
"Esfenvalerate","Rimsulfuron",0.5054,"1.21e-02",1398,99,0.6726,"3.24e-05"
"Esfenvalerate","Glufosinate",0.4959,"4.17e-02",1260,98,0.728,"4.54e-05"
"Esfenvalerate","Tebupirimphos",0.6934,"1.22e-02",995,78,0.7942,"9.63e-05"
"Esfenvalerate","Diflufenzopyr",0.6048,"8.71e-03",1102,97,0.6784,"2.46e-04"
"Esfenvalerate","Flumioxazin",0.0727,"8.46e-01",703,92,0.5233,"4.88e-02"
"Glyphosate","Alachlor",0.5438,"2.25e-03",1900,102,0.5399,"5.92e-06"
"Glyphosate","Atrazine",0.4769,"2.36e-02",2014,104,0.4867,"1.68e-05"
"Glyphosate","Carbaryl",0.5478,"6.42e-05",2052,106,0.4984,"7.79e-06"
"Glyphosate","Chlorothalonil",0.473,"5.64e-05",1977,106,0.5135,"4.72e-06"
"Glyphosate","Clopyralid",0.4861,"2.33e-03",1938,106,0.5044,"1.11e-05"
"Glyphosate","Cyfluthrin",0.4337,"2.36e-02",1567,102,0.454,"9.28e-04"
"Glyphosate","Cyhalothrinlambda",0.5541,"2.00e-03",1709,103,0.5035,"7.97e-05"
"Glyphosate","Diazinon",0.5281,"3.28e-05",1810,106,0.5551,"5.32e-06"
"Glyphosate","Esfenvalerate",0.3652,"2.02e-02",1972,103,0.4907,"2.88e-05"
"Glyphosate","Metolachlor",0.6484,"1.11e-03",1661,105,0.6271,"4.92e-07"
"Glyphosate","Nicosulfuron",0.441,"5.06e-02",1703,102,0.6525,"1.14e-06"
"Glyphosate","Pendimethalin",0.5119,"1.29e-03",2049,106,0.5133,"4.71e-06"
"Glyphosate","Picloram",0.5126,"3.37e-05",1860,103,0.5013,"1.74e-05"
"Glyphosate","Propargite",0.44,"7.84e-03",1100,96,0.3345,"4.73e-02"
"Glyphosate","Sethoxydim",0.5175,"4.90e-04",1925,105,0.5157,"1.18e-05"
"Glyphosate","Simazine",0.3694,"2.44e-02",1795,106,0.5809,"1.67e-06"
"Glyphosate","Terbufos",0.6,"2.84e-03",1576,99,0.5922,"2.06e-05"
"Glyphosate","Dimethenamid",0.5746,"2.19e-02",1533,100,0.5997,"1.66e-05"
"Glyphosate","Fenbuconazole",-0.232,"2.99e-01",417,30,-0.0874,"6.97e-01"
"Glyphosate","Acetochlor",0.6566,"1.57e-02",1499,101,0.6325,"7.74e-06"
"Glyphosate","Imidacloprid",0.4355,"3.21e-03",1488,105,0.4413,"7.20e-04"
"Glyphosate","Rimsulfuron",0.5356,"3.79e-02",1426,103,0.6448,"1.29e-05"
"Glyphosate","Glufosinate",0.4143,"1.25e-01",1280,103,0.5914,"5.62e-05"
"Glyphosate","Tebupirimphos",0.7767,"3.62e-02",1004,79,0.7396,"1.59e-04"
"Glyphosate","Diflufenzopyr",0.6887,"1.81e-02",1124,99,0.607,"2.34e-04"
"Glyphosate","Flumioxazin",0.1773,"6.78e-01",695,95,0.5828,"1.19e-02"
"Metolachlor","Alachlor",0.1838,"3.18e-01",1607,100,0.3337,"5.30e-04"
"Metolachlor","Atrazine",-0.1066,"5.86e-01",1659,100,0.3168,"5.73e-04"
"Metolachlor","Carbaryl",0.2819,"1.10e-02",1662,100,0.3131,"6.64e-04"
"Metolachlor","Chlorothalonil",0.2696,"5.89e-03",1608,100,0.3205,"5.21e-04"
"Metolachlor","Clopyralid",0.1248,"3.03e-01",1565,100,0.297,"2.00e-03"
"Metolachlor","Cyfluthrin",0.1282,"4.10e-01",1302,100,0.3413,"2.41e-03"
"Metolachlor","Cyhalothrinlambda",0.0532,"7.38e-01",1399,100,0.3095,"3.77e-03"
"Metolachlor","Diazinon",0.3023,"5.88e-03",1394,100,0.3391,"1.23e-03"
"Metolachlor","Esfenvalerate",0.192,"1.67e-01",1635,100,0.3026,"1.26e-03"
"Metolachlor","Glyphosate",-0.0868,"5.73e-01",1664,100,0.3169,"5.58e-04"
"Metolachlor","Nicosulfuron",-0.0805,"6.84e-01",1481,99,0.3935,"4.93e-04"
"Metolachlor","Pendimethalin",0.1845,"2.13e-01",1660,100,0.3174,"5.59e-04"
"Metolachlor","Picloram",0.2916,"4.76e-03",1514,100,0.3311,"7.38e-04"
"Metolachlor","Propargite",0.1386,"1.61e-01",769,90,0.1127,"2.51e-01"
"Metolachlor","Sethoxydim",0.2237,"6.84e-02",1608,100,0.3202,"7.62e-04"
"Metolachlor","Simazine",0.1291,"4.20e-01",1494,100,0.3228,"1.51e-03"
"Metolachlor","Terbufos",0.345,"1.06e-01",1406,99,0.3387,"2.24e-03"
"Metolachlor","Dimethenamid",-0.2082,"3.63e-01",1343,99,0.3558,"3.21e-03"
"Metolachlor","Fenbuconazole",-0.1836,"1.81e-01",283,28,-0.0373,"7.81e-01"
"Metolachlor","Acetochlor",0.0219,"9.24e-01",1353,99,0.4002,"9.54e-04"
"Metolachlor","Imidacloprid",0.2232,"7.46e-02",1219,100,0.2323,"3.33e-02"
"Metolachlor","Rimsulfuron",-0.0577,"7.56e-01",1233,99,0.3386,"7.66e-03"
"Metolachlor","Glufosinate",-0.0085,"9.65e-01",1108,98,0.3634,"6.00e-03"
"Metolachlor","Tebupirimphos",6e-04,"9.98e-01",939,79,0.4662,"1.12e-02"
"Metolachlor","Diflufenzopyr",0.0387,"8.76e-01",979,97,0.3981,"7.31e-03"
"Metolachlor","Flumioxazin",-0.3941,"1.80e-01",690,87,0.2928,"1.21e-01"
"Nicosulfuron","Alachlor",0.4683,"4.29e-03",1666,95,0.5087,"4.91e-07"
"Nicosulfuron","Atrazine",0.2976,"1.59e-01",1691,95,0.4956,"5.86e-07"
